aggregation,group,method,budget,n,quality_mean,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,ssd_read_mb_mean,ssd_read_mb_total,selector_ms_mean,scatter_ms_mean,prefill_ms_mean,selected_kv_ratio_mean,logical_visual_token_ratio_mean,ssd_payload_ratio_vs_full_visual_kv_mean,history_tokens_mean,active_visual_tokens_mean,total_context_tokens_mean,full_visual_kv_gb_mean,selected_visual_kv_gb_mean,gpu_memory_allocated_gb_mean,gpu_peak_memory_allocated_gb_mean,process_rss_gb_mean,ssd_read_ratio_vs_fullload,ttft_reduction_vs_fullload_pct,ssd_reduction_vs_fullload_pct,quality_delta_vs_fullload,ttft_reduction_vs_sparsevlm_pct,ssd_reduction_vs_sparsevlm_pct
overall,all,FullLoad,1.0,1000,0.452,665.2082355293678,662.5300940067973,785.2904093102552,36.89108762651449,20.39943149429746,113.68746987718623,702.0993231558823,694.3011294933967,860.6259598716861,1169.43486976,1169434.86976,0.0,,,1.0,1.0,1.0,95.274,2230.52,2359.765,1.1694348697599999,1.1694348697599999,5.229141741568,6.592958073856,2.105358610432,1.0,,,,,
overall,all,ReComp,,1000,0.452,526.3979227485834,535.475120996125,582.9329396685353,32.43892893259181,19.349929498275742,110.0801702647004,558.8368516811752,558.634762535803,729.0558650565799,0.0,0.0,0.0,0.0,526.3977107820101,,,,95.274,2230.52,2359.765,1.1694348697599999,0.0,5.11151675392,8.263059231232,2.099057455104,0.0,,,,,
overall,all,SparseVLM 25%,0.25,1000,0.447,718.3867502647918,730.3131465159822,845.1380938029615,42.919262649316806,30.356656498042867,99.571498343721,761.3060129141086,769.4747394998558,901.8853580811991,911.953035264,911953.035264,,,,0.2458032859590204,0.2458032859590204,0.7319231715071105,95.274,2230.52,2359.765,1.1694348697599999,0.8571357757439999,5.228724793344,6.594317688319999,2.109373513728,0.7798237070279576,,,,,
overall,all,Static+Diverse 25%,0.25,1000,0.436,337.2397549744928,337.1165795251727,384.743181290105,32.27751414128579,19.592824479332194,111.27176038862667,369.5172691157786,361.7891694884747,484.5708555891178,301.76837632,301768.37632,15.833970845269505,52.272092862054706,55.422857467317954,0.2431415083532017,0.2431415083532017,0.258023992431837,95.274,2230.52,2359.765,1.1694348697599999,0.30176837632,5.229141741568,6.59338667264,2.096722059264,0.2580463300037659,49.303129912978314,74.19536699962342,-0.016000000000000014,53.055961172698574,66.90965821144052
overall,all,Static+Diverse 50%,0.5,1000,0.442,558.4918748449418,562.302180507686,623.331962764496,32.61113882169593,19.632699491921812,111.78017631173134,591.1030136666377,587.7654695068486,724.9343570758355,594.71364096,594713.64096,22.436604973918293,89.4217243809835,56.80798120616237,0.4902578573128628,0.4902578573128628,0.5090890807292063,95.274,2230.52,2359.765,1.1694348697599999,0.59471364096,5.228724793344,6.592953725439999,2.10162833408,0.5085478946613345,16.04254953330545,49.145210533866546,-0.010000000000000009,22.257492271525603,34.78681270161712
active_images,1,FullLoad,1.0,1000,0.452,665.2082355293678,662.5300940067973,785.2904093102552,36.89108762651449,20.39943149429746,113.68746987718623,702.0993231558823,694.3011294933967,860.6259598716861,1169.43486976,1169434.86976,0.0,,,1.0,1.0,1.0,95.274,2230.52,2359.765,1.1694348697599999,1.1694348697599999,5.229141741568,6.592958073856,2.105358610432,1.0,,,,,
active_images,1,ReComp,,1000,0.452,526.3979227485834,535.475120996125,582.9329396685353,32.43892893259181,19.349929498275742,110.0801702647004,558.8368516811752,558.634762535803,729.0558650565799,0.0,0.0,0.0,0.0,526.3977107820101,,,,95.274,2230.52,2359.765,1.1694348697599999,0.0,5.11151675392,8.263059231232,2.099057455104,0.0,,,,,
active_images,1,SparseVLM 25%,0.25,1000,0.447,718.3867502647918,730.3131465159822,845.1380938029615,42.919262649316806,30.356656498042867,99.571498343721,761.3060129141086,769.4747394998558,901.8853580811991,911.953035264,911953.035264,,,,0.2458032859590204,0.2458032859590204,0.7319231715071105,95.274,2230.52,2359.765,1.1694348697599999,0.8571357757439999,5.228724793344,6.594317688319999,2.109373513728,0.7798237070279576,,,,,
active_images,1,Static+Diverse 25%,0.25,1000,0.436,337.2397549744928,337.1165795251727,384.743181290105,32.27751414128579,19.592824479332194,111.27176038862667,369.5172691157786,361.7891694884747,484.5708555891178,301.76837632,301768.37632,15.833970845269505,52.272092862054706,55.422857467317954,0.2431415083532017,0.2431415083532017,0.258023992431837,95.274,2230.52,2359.765,1.1694348697599999,0.30176837632,5.229141741568,6.59338667264,2.096722059264,0.2580463300037659,49.303129912978314,74.19536699962342,-0.016000000000000014,53.055961172698574,66.90965821144052
active_images,1,Static+Diverse 50%,0.5,1000,0.442,558.4918748449418,562.302180507686,623.331962764496,32.61113882169593,19.632699491921812,111.78017631173134,591.1030136666377,587.7654695068486,724.9343570758355,594.71364096,594713.64096,22.436604973918293,89.4217243809835,56.80798120616237,0.4902578573128628,0.4902578573128628,0.5090890807292063,95.274,2230.52,2359.765,1.1694348697599999,0.59471364096,5.228724793344,6.592953725439999,2.10162833408,0.5085478946613345,16.04254953330545,49.145210533866546,-0.010000000000000009,22.257492271525603,34.78681270161712
