image_id,layer,layout,importance_source,analysis_only_calibration,physical_fraction_requested,selected_chunk_count,total_chunk_count,selected_physical_rows,selected_normal_tokens,total_normal_tokens,realized_normal_token_fraction,selected_importance_mass,total_importance_mass,importance_mass_coverage,separator_tokens,separator_tail,prefix_rule,order_sha256
n355567,2,raster,visionzip_image_saliency,False,0.1,3,34,192,192,2112,0.09090909090909091,4.627756118774414,41.25156879425049,0.11218376061904865,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,2,raster,sparsevlm_calib4_analysis_only,True,0.1,3,34,192,192,2112,0.09090909090909091,0.010080520881786015,0.05623305418080804,0.1792632647939373,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,2,raster,visionzip_image_saliency,False,0.2,7,34,448,448,2112,0.21212121212121213,8.402329444885254,41.25156879425049,0.203685088603378,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,2,raster,sparsevlm_calib4_analysis_only,True,0.2,7,34,448,448,2112,0.21212121212121213,0.013645175024187495,0.05623305418080804,0.24265399101947588,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,2,raster,visionzip_image_saliency,False,0.25,8,34,512,512,2112,0.24242424242424243,12.111695289611816,41.25156879425049,0.29360568927744407,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,2,raster,sparsevlm_calib4_analysis_only,True,0.25,8,34,512,512,2112,0.24242424242424243,0.01539753881832695,0.05623305418080804,0.27381651312800337,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,2,raster,visionzip_image_saliency,False,0.3,10,34,640,639,2112,0.3025568181818182,13.699898719787598,41.25156879425049,0.3321061263904476,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,2,raster,sparsevlm_calib4_analysis_only,True,0.3,10,34,640,639,2112,0.3025568181818182,0.016381248444595542,0.05623305418080804,0.2913099543184043,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,2,raster,visionzip_image_saliency,False,0.5,17,34,1088,1078,2112,0.5104166666666666,25.846858024597168,41.25156879425049,0.6265666683735824,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,2,raster,sparsevlm_calib4_analysis_only,True,0.5,17,34,1088,1078,2112,0.5104166666666666,0.02213755037372067,0.05623305418080804,0.3936750492431206,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,3,raster,visionzip_image_saliency,False,0.1,3,34,192,192,2112,0.09090909090909091,4.627756118774414,41.25156879425049,0.11218376061904865,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,3,raster,sparsevlm_calib4_analysis_only,True,0.1,3,34,192,192,2112,0.09090909090909091,0.006002630436569234,0.026270446705751738,0.22849365691429216,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,3,raster,visionzip_image_saliency,False,0.2,7,34,448,448,2112,0.21212121212121213,8.402329444885254,41.25156879425049,0.203685088603378,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,3,raster,sparsevlm_calib4_analysis_only,True,0.2,7,34,448,448,2112,0.21212121212121213,0.008125841244378762,0.026270446705751738,0.30931492469062827,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
n355567,3,raster,visionzip_image_saliency,False,0.25,8,34,512,512,2112,0.24242424242424243,12.111695289611816,41.25156879425049,0.29360568927744407,32,False,"chunks range(0,k)",4dc244f74c7b39667c70a498644f68832d4311e64c24f414746a5f6d952622a9
