analysis_role,layout,arm,budget,calibration_questions,main_table,sanity_only,source_run,source_method_key,n_requests,n_images,accuracy,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,decode_mean_ms,decode_p50_ms,decode_p95_ms,e2e_mean_ms,e2e_p50_ms,e2e_p95_ms,selector_mean_ms,selector_p50_ms,selector_p95_ms,ssd_read_mean_ms,ssd_read_p50_ms,ssd_read_p95_ms,scatter_mean_ms,scatter_p50_ms,scatter_p95_ms,prepare_mean_ms,prepare_p50_ms,prepare_p95_ms,prefill_mean_ms,prefill_p50_ms,prefill_p95_ms,ssd_read_bytes_mean,total_actual_pread_bytes_mean,normal_kv_read_bytes_mean,separator_read_bytes_mean,ssd_preads_mean,normal_kv_preads_mean,separator_preads_mean,ssd_read_chunks_mean,normal_chunk_count_total_mean,n_chunks_selected_mean,n_chunks_total_mean,touched_chunk_fraction_mean,logical_kv_ratio_mean,ssd_read_bytes_total,ssd_read_mb_mean,mean_bytes_per_pread_pooled,normal_mean_bytes_per_pread_pooled,separator_mean_bytes_per_pread_pooled,accuracy_delta_vs_raster_fullload_pp,ttft_reduction_vs_raster_fullload_pct,ssd_bytes_ratio_vs_raster_fullload,total_preads_ratio_vs_raster_fullload,accuracy_delta_vs_recomp_pp,ttft_reduction_vs_recomp_pct,ssd_bytes_ratio_vs_recomp,total_preads_ratio_vs_recomp,accuracy_delta_vs_calib4_prefix25_pp,ttft_reduction_vs_calib4_prefix25_pct,ssd_bytes_ratio_vs_calib4_prefix25,total_preads_ratio_vs_calib4_prefix25,accuracy_delta_vs_raster_prefix25_pp,ttft_reduction_vs_raster_prefix25_pct,ssd_bytes_ratio_vs_raster_prefix25,total_preads_ratio_vs_raster_prefix25,accuracy_delta_vs_morton_prefix25_pp,ttft_reduction_vs_morton_prefix25_pct,ssd_bytes_ratio_vs_morton_prefix25,total_preads_ratio_vs_morton_prefix25,accuracy_delta_vs_visionzip_fullload_sanity_pp,ttft_reduction_vs_visionzip_fullload_sanity_pct,ssd_bytes_ratio_vs_visionzip_fullload_sanity,total_preads_ratio_vs_visionzip_fullload_sanity,paired_image_cluster_ci95_vs_raster_fullload_pp,mcnemar_p_vs_raster_fullload,paired_image_cluster_ci95_vs_same_layout_fullload_pp,mcnemar_p_vs_same_layout_fullload,paired_image_cluster_ci95_vs_recomp_pp,mcnemar_p_vs_recomp
raster_fullload,Raster,FullLoad,,0,True,False,raster,fullload,240,40,0.6208333333333333,782.1115526550178,806.9473129580729,957.8657558013219,28.706041604164056,19.52149299904704,55.58760390267707,810.8175942591819,832.2317940182984,982.4908053036778,,,,469.6300862551046,467.19807520275936,562.9933889489621,,,,,,,777.3192270877189,802.216112439055,952.9156724165659,1165072793.6,1165072793.6,1165072793.6,0.0,64.0,64.0,0.0,2248.0,,,,1.0,1.0,279617470464,1165.0727935999998,18204262.4,18204262.4,,0.0,0.0,1.0,1.0,-0.4166666666666652,-55.23845864388283,,,1.6666666666666718,-198.33911979490168,3.8064405618362454,0.9846153846153847,59.166666666666664,-170.567623248538,3.8064405618362454,0.9846153846153847,59.166666666666664,-170.40493868102925,3.8064405618362454,0.9846153846153847,0.8333333333333304,-9.055280817257666,1.0,1.0,,,,,"[-1.6666666666666667, 0.8333333333333335]",1.0
recomp,Pixel recomputation (historical),ReComp,,,True,False,calib4,recompute,240,40,0.625,503.8130109557339,506.86943950131536,598.1608524161854,26.532935148861725,19.69061093404889,56.70047455932945,530.3459461045956,536.3109915051609,624.3953736324327,,,,0.0,0.0,0.0,,,,,,,503.812777317944,506.86917250277475,598.1606342655139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,,,,0.4166666666666652,35.582972883414094,0.0,0.0,0.0,0.0,,,2.083333333333337,-92.18119169766553,0.0,0.0,59.583333333333336,-74.29161923671272,0.0,0.0,59.583333333333336,-74.1868226747461,0.0,0.0,1.2499999999999956,29.749830183878224,0.0,0.0,"[-0.8333333333333335, 1.6666666666666667]",1.0,,,,
raster_prefix25,Raster,Prefix25,0.25,0,True,False,raster,layout_prefix_chunk,240,40,0.029166666666666667,289.0632453597694,286.39771847520024,342.0590603607707,259.39588326776476,270.7816429901868,277.7832488238346,548.4591286275341,553.996593458578,608.960533287609,0.20955646177753806,0.2142501762136817,0.27837596135213966,164.67768907459686,163.9465985354036,200.81388906692152,48.82883903289136,49.673309666104615,57.51114045269787,245.92550865684947,245.62717747176066,295.57660294813104,43.08181653274611,41.05853254441172,60.13965914607979,306079334.4,306079334.4,286051532.8,20027801.6,65.0,64.0,1.0,545.6,272.8,8.525,35.125,0.2428141888895561,0.2627204966504275,73459040256,306.0793344,4708912.836923077,4469555.2,20027801.6,-59.166666666666664,63.040662885173816,0.26271262712627125,1.015625,-59.583333333333336,42.62489473794731,,,-57.49999999999999,-10.26416103040286,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.060127137739354915,1.0,1.0,-58.333333333333336,59.693891121229356,0.26271262712627125,1.015625,,,,,"[-66.66666666666666, -52.5]",6.546866425325545e-42
morton_prefix25,Morton,Prefix25,0.25,0,True,False,morton,layout_prefix_chunk,240,40,0.029166666666666667,289.23715538257966,288.94332848722115,342.6473373896442,259.59427463045967,271.6259930166416,278.4480965870898,548.8314300130393,559.3248879886232,613.1914048630279,0.2258873311802745,0.22881856421008706,0.2863195433747023,161.15253424019707,159.95274111628532,199.75377659429793,50.62603642824494,51.325583655852824,59.35136656044051,245.3787969207042,244.80195000069216,297.1467019233387,43.799655861221254,41.916962480172515,57.63190010911783,306079334.4,306079334.4,286051532.8,20027801.6,65.0,64.0,1.0,545.6,272.8,8.525,35.125,0.2428141888895561,0.2627658354083044,73459040256,306.0793344,4708912.836923077,4469555.2,20027801.6,-59.166666666666664,63.01842692379209,0.26271262712627125,1.015625,-59.583333333333336,42.59037597423369,,,-57.49999999999999,-10.330499601866991,1.0,1.0,0.0,-0.06016331221696017,1.0,1.0,0.0,0.0,1.0,1.0,-58.333333333333336,59.669641631102124,0.26271262712627125,1.015625,,,,,"[-66.66666666666666, -52.5]",6.546866425325545e-42
calib4_prefix25,Calib4 importance legacy,Prefix25,0.25,4,True,False,calib4,reorder_prefix_chunk@25,240,40,0.6041666666666666,262.1552122271775,261.89540297491476,318.9694976783357,26.89561923519553,19.697142473887652,57.26610212004743,289.050831462373,289.29843043442816,349.3544595665298,0.19381173866956183,0.19633781630545855,0.24263023515231896,132.67476693145,127.34059896320105,181.18032409693114,51.31743940825496,52.2567926091142,58.55871140956879,216.46893011735906,213.54394854279235,277.63597883749753,45.62809417548124,43.68386202258989,59.98516380786894,306079334.4,306079334.4,286051532.8,20027801.6,65.0,64.0,1.0,545.6,272.8,8.525,35.125,0.2428141888895561,0.2519484646571782,73459040256,306.0793344,4708912.836923077,4469555.2,20027801.6,-1.6666666666666718,66.48109705869392,0.26271262712627125,1.015625,-2.083333333333337,47.96577171957732,,,0.0,0.0,1.0,1.0,57.49999999999999,9.30870097272381,1.0,1.0,57.49999999999999,9.363231055007551,1.0,1.0,-0.8333333333333415,63.4458662704946,0.26271262712627125,1.015625,,,,,"[-6.250000000000002, 1.6666666666666663]",0.359283447265625
visionzip_prefix25,VisionZip image-only,Prefix25,0.25,0,True,False,visionzip,visionzip_repack_prefix@25,240,40,0.5791666666666667,284.73577463397913,284.82140752021223,341.6366176272277,25.959563070985798,19.000732514541596,54.20689630554989,310.6953377049649,311.3941454794258,366.9166670413687,0.2119049458997324,0.21691550500690937,0.2638673409819603,155.11733464081772,152.43500750511885,203.5347702272702,50.94263631375119,51.532886223867536,61.33777513750829,239.99903622704247,238.75008191680536,297.24182906211354,44.68029948475305,42.635829478967935,59.62606893735937,306079334.4,306079334.4,286051532.8,20027801.6,65.0,64.0,1.0,545.6,272.8,8.525,35.125,0.2428141888895561,0.2627658354083044,73459040256,306.0793344,4708912.836923077,4469555.2,20027801.6,-4.1666666666666625,63.59396895910916,0.26271262712627125,1.015625,-4.583333333333329,43.48383855870752,,,-2.499999999999991,-8.613432559652423,1.0,1.0,55.00000000000001,1.497067093536662,1.0,1.0,55.00000000000001,1.5562940876826354,1.0,1.0,-3.3333333333333326,60.297300613938496,0.26271262712627125,1.015625,"[-10.0, 1.25]",0.09873714670538902,"[-8.75, 2.083333333333333]",0.20048842206597328,"[-10.0, 0.4166666666666661]",0.06142834573984146
visionzip_prefix50,VisionZip image-only,Prefix50,0.5,0,True,False,visionzip,visionzip_repack_prefix@50,240,40,0.6,460.86225611700985,464.4663275103085,545.6349929911084,25.78483929343444,18.982667999807745,55.060236423742026,486.6470954104443,488.4030799730681,569.3042226950638,0.3311416444679101,0.3384646843187511,0.3668104880489409,257.58835538629984,256.7302157403901,316.4978471817449,89.4193304896665,90.57119203498587,104.79558563092723,415.3042268265078,418.519111990463,494.9318906583357,45.49727491588177,44.356500497087836,59.348865522770204,603874918.4,603874918.4,583847116.8,20027801.6,65.0,64.0,1.0,1113.6,556.8,17.4,35.125,0.49597425526053956,0.5188436582679901,144929980416,603.8749184,9290383.36,9122611.2,20027801.6,-2.083333333333337,41.074613390822535,0.5183151831518316,1.015625,-2.500000000000002,8.525138077963966,,,-0.4166666666666652,-75.79747974556291,1.972935936964714,1.0,57.08333333333333,-59.43301803846375,1.972935936964714,1.0,57.08333333333333,-59.337155528105754,1.972935936964714,1.0,-1.2500000000000067,35.73875416070676,0.5183151831518316,1.015625,"[-5.416666666666668, 1.25]",0.266845703125,,,"[-5.416666666666668, -6.938893903907228e-17]",0.109375
visionzip_fullload_sanity,VisionZip image-only,FullLoad,,0,False,True,visionzip,fullload,240,40,0.6125,717.1698122217398,714.6543150302023,886.5479112544563,29.680757187694933,22.294578491710126,56.80021923035383,746.8505694094347,742.9421945707873,916.6320101241581,,,,449.7169324148369,442.1707955189049,584.064684540499,,,,,,,712.0681752120921,709.5594990532845,881.5896251646336,1165072793.6,1165072793.6,1165072793.6,0.0,64.0,64.0,0.0,2248.0,,,,1.0,1.0,279617470464,1165.0727935999998,18204262.4,18204262.4,,-0.8333333333333304,8.303385906118079,1.0,1.0,-1.2499999999999956,-42.34841034797172,,,0.8333333333333415,-173.56687136941505,3.8064405618362454,0.9846153846153847,58.333333333333336,-148.10134935320022,3.8064405618362454,0.9846153846153847,58.333333333333336,-147.95217311314144,3.8064405618362454,0.9846153846153847,0.0,0.0,1.0,1.0,"[-2.0833333333333335, 0.0]",0.5,,,"[-2.9166666666666665, 0.0]",0.25
matched_calib_prefix25,Calib4 importance separator-tail,Prefix25,0.25,4,False,False,matched,layout_prefix_chunk,240,40,0.6083333333333333,290.44142925413325,288.91768999164924,344.3164586322382,25.909156124301564,18.959629407618195,55.069430032745004,316.3505853784348,315.211306035053,368.08935950975865,0.20816916997622079,0.2117736148647964,0.25601338711567223,161.89560554533577,162.04774077050388,196.09931434388272,50.73598965294271,51.204947172664106,59.06640480388887,246.38622350612422,246.39822146855295,295.2033211651724,43.99992300216885,42.112842958886176,58.7601025297772,306079334.4,306079334.4,286051532.8,20027801.6,65.0,64.0,1.0,545.6,272.8,8.525,35.125,0.2428141888895561,0.2627658354083044,73459040256,306.0793344,4708912.836923077,4469555.2,20027801.6,-1.2500000000000067,62.86444967240571,0.26271262712627125,1.015625,-1.6666666666666718,42.35134406251924,,,0.4166666666666652,-10.789873978337525,1.0,1.0,57.91666666666666,-0.4767759016365357,1.0,1.0,57.91666666666666,-0.41636209219409565,1.0,1.0,-0.4166666666666763,59.501721307208,0.26271262712627125,1.015625,,,,,"[-4.583333333333335, 1.2499999999999998]",0.4239501953125
