layout,n_images,reuse_requests_per_image,vision_saliency_mean_ms,permutation_mean_ms,prefix_forward_mean_ms,kv_materialize_mean_ms,kv_repack_mean_ms,ssd_write_mean_ms,total_ingestion_mean_ms,total_ingestion_all_images_ms,total_ingestion_p50_ms,total_ingestion_p95_ms,amortized_total_ingestion_ms_per_request,incremental_vs_raster_mean_ms,incremental_vs_raster_all_images_ms,amortized_incremental_vs_raster_ms_per_request,mapping_metadata_bytes_mean,visual_kv_bytes_mean,probe_sidecar_bytes_mean,separator_sidecar_bytes_mean
raster,40,1,0.0,0.0,506.5063706220826,108.57097874104511,0.0,427.5321640947368,1166.2282956851413,46649.131827405654,1177.4429794750176,1486.353923002025,1166.2282956851413,0.0,0.0,0.0,21690.775,1165072793.6,54612787.2,20027801.6
raster,40,5,0.0,0.0,506.5063706220826,108.57097874104511,0.0,427.5321640947368,1166.2282956851413,46649.131827405654,1177.4429794750176,1486.353923002025,233.24565913702827,0.0,0.0,0.0,21690.775,1165072793.6,54612787.2,20027801.6
raster,40,10,0.0,0.0,506.5063706220826,108.57097874104511,0.0,427.5321640947368,1166.2282956851413,46649.131827405654,1177.4429794750176,1486.353923002025,116.62282956851413,0.0,0.0,0.0,21690.775,1165072793.6,54612787.2,20027801.6
raster,40,20,0.0,0.0,506.5063706220826,108.57097874104511,0.0,427.5321640947368,1166.2282956851413,46649.131827405654,1177.4429794750176,1486.353923002025,58.31141478425707,0.0,0.0,0.0,21690.775,1165072793.6,54612787.2,20027801.6
visionzip_image_only,40,1,45.34433640365023,0.6559762929100543,502.40042091172654,114.98593530559447,43.780499990680255,468.87811140331905,1305.0947085692314,52203.78834276926,1311.8589090299793,1494.8285086138637,1305.0947085692314,138.8664128840901,5554.656515363604,138.8664128840901,68202.975,1165072793.6,54612787.2,20027801.6
visionzip_image_only,40,5,45.34433640365023,0.6559762929100543,502.40042091172654,114.98593530559447,43.780499990680255,468.87811140331905,1305.0947085692314,52203.78834276926,1311.8589090299793,1494.8285086138637,261.0189417138463,138.8664128840901,5554.656515363604,27.77328257681802,68202.975,1165072793.6,54612787.2,20027801.6
visionzip_image_only,40,10,45.34433640365023,0.6559762929100543,502.40042091172654,114.98593530559447,43.780499990680255,468.87811140331905,1305.0947085692314,52203.78834276926,1311.8589090299793,1494.8285086138637,130.50947085692314,138.8664128840901,5554.656515363604,13.88664128840901,68202.975,1165072793.6,54612787.2,20027801.6
visionzip_image_only,40,20,45.34433640365023,0.6559762929100543,502.40042091172654,114.98593530559447,43.780499990680255,468.87811140331905,1305.0947085692314,52203.78834276926,1311.8589090299793,1494.8285086138637,65.25473542846157,138.8664128840901,5554.656515363604,6.943320644204505,68202.975,1165072793.6,54612787.2,20027801.6
