method_key,method,n_requests,n_images,accuracy,delta_accuracy_vs_fullload_pp,delta_accuracy_vs_prefix_pp,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,decode_mean_ms,e2e_mean_ms,ssd_read_bytes_mean,ssd_read_mb_mean,ssd_ratio_vs_fullload,selected_chunks_per_layer_mean,touched_chunk_fraction_mean,selector_mean_ms,selector_p95_ms,normal_kv_read_bytes_mean,separator_read_bytes_mean,normal_kv_preads_mean,separator_preads_mean
fullload,FullLoad,240,40,0.6208333333333333,0.0,3.749999999999998,695.212749086204,691.2379564600997,844.1899262892546,29.315267034689896,724.5280161208939,1165072793.6,1165.0727935999998,1.0,,1.0,,,1165072793.6,0.0,64.0,0.0
reorder_prefix_chunk,Reorder + Prefix 25%,240,40,0.5833333333333334,-3.749999999999998,0.0,281.63593804929405,282.31057996163145,322.56920978543343,25.943630902232446,307.5795689515265,306079334.4,306.0793344,0.26271262712627125,8.525,0.2428141888895561,0.220497403643094,0.27090461808256805,286051532.8,20027801.6,64.0,1.0
static_diverse_chunk,Reorder + Static+Diverse 25%,240,40,0.5791666666666667,-4.1666666666666625,-0.4166666666666652,349.85511258225114,346.3851680280641,403.8646541011985,25.874500277859624,375.72961286011076,300108185.6,300.1081856,0.2575874977499775,8.525,0.2428141888895561,14.241989279980771,17.35726244514808,280080384.0,20027801.6,281.15,1.0
