metric,turns_n,method,budget,scenario,n_dialogs,persistence_charged,cumulative_ms_mean,cumulative_ms_p50,cumulative_ms_p95,delta_vs_recomp_ms_mean,delta_vs_recomp_ms_p50,delta_vs_recomp_ms_p95,reduction_vs_recomp_pct_of_means,strictly_better_dialog_fraction,is_direct_two_turn_case
sum_of_per_request_end_to_end_ttft_ms,1,ReComp,,recompute_no_persistence,100,False,519.418718641391,525.395508040674,567.8679097385611,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_end_to_end_ttft_ms,1,Prefix25,0.25,hidden,100,False,519.5386953442357,527.148503519129,565.7205092953518,0.11997670284472406,-0.04788947990164161,4.615726351039484,-0.023098263219800685,0.57,False
sum_of_per_request_end_to_end_ttft_ms,1,Prefix25,0.25,worst,100,False,519.5386953442357,527.148503519129,565.7205092953518,0.11997670284472406,-0.04788947990164161,4.615726351039484,-0.023098263219800685,0.57,False
sum_of_per_request_end_to_end_ttft_ms,1,Prefix45,0.45,hidden,100,False,520.153393347282,527.6246374705806,563.496711285552,0.7346747058909386,0.21470594219863415,4.976456711301579,-0.14144170772523168,0.4,False
sum_of_per_request_end_to_end_ttft_ms,1,Prefix45,0.45,worst,100,False,520.153393347282,527.6246374705806,563.496711285552,0.7346747058909386,0.21470594219863415,4.976456711301579,-0.14144170772523168,0.4,False
sum_of_per_request_end_to_end_ttft_ms,2,ReComp,,recompute_no_persistence,100,False,1044.6449489553925,1079.7107370453887,1133.0196866358165,0.0,0.0,0.0,0.0,0.0,True
sum_of_per_request_end_to_end_ttft_ms,2,Prefix25,0.25,hidden,100,False,784.0809199027717,784.1896589379758,875.81370655098,-260.56402905262075,-262.11319147842005,-162.55221519968472,24.942831467588622,1.0,True
sum_of_per_request_end_to_end_ttft_ms,2,Prefix25,0.25,worst,100,True,1763.8259495189413,1759.64818848297,2116.1942059057765,719.1810005635489,694.7395548922941,972.298923926428,-68.8445391214215,0.0,True
sum_of_per_request_end_to_end_ttft_ms,2,Prefix45,0.45,hidden,100,False,926.290258069057,935.925938480068,1030.4645087511744,-118.35469088633545,-117.49504006002098,-45.56030035601001,11.329657124622672,0.99,True
sum_of_per_request_end_to_end_ttft_ms,2,Prefix45,0.45,worst,100,True,1906.0352876852266,1900.3702329937369,2239.957181556383,861.3903387298342,836.946755007375,1106.204051914392,-82.45771346438747,0.0,True
sum_of_per_request_end_to_end_ttft_ms,3,ReComp,,recompute_no_persistence,100,False,1569.4322273950092,1638.4826814755797,1698.2811742462218,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_end_to_end_ttft_ms,3,Prefix25,0.25,hidden,100,False,1049.3182712653652,1047.8062014444731,1197.366695816163,-520.1139561296441,-525.5542244412936,-346.9884106307291,33.14026225859684,1.0,False
sum_of_per_request_end_to_end_ttft_ms,3,Prefix25,0.25,worst,100,True,2029.0633008815348,2026.1538155609742,2436.2819111149292,459.63107348652557,425.28377688722685,704.3535460950807,-29.286455666163747,0.0,False
sum_of_per_request_end_to_end_ttft_ms,3,Prefix45,0.45,hidden,100,False,1335.084039682988,1348.6263880622573,1485.7214879360981,-234.34818771202117,-237.5216051004827,-117.23257303820007,14.932036160682093,1.0,False
sum_of_per_request_end_to_end_ttft_ms,3,Prefix45,0.45,worst,100,True,2314.8290692991577,2322.549771692138,2703.9429110183846,745.3968419041485,721.112358965911,1004.8700946324971,-47.49468176407849,0.0,False
sum_of_per_request_end_to_end_ttft_ms,4,ReComp,,recompute_no_persistence,100,False,2100.702551525319,2186.5319874486886,2272.9954576236196,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_end_to_end_ttft_ms,4,Prefix25,0.25,hidden,100,False,1324.4153314642608,1312.701446004212,1502.2690570971463,-776.2872200610582,-780.4751710500568,-519.15512571577,36.95369530052679,1.0,False
sum_of_per_request_end_to_end_ttft_ms,4,Prefix25,0.25,worst,100,True,2304.1603610804304,2296.8510189675726,2753.7943542352878,203.45780955511145,172.79676033649594,471.1904864641838,-9.685226945022784,0.05,False
sum_of_per_request_end_to_end_ttft_ms,4,Prefix45,0.45,hidden,100,False,1747.3104354273528,1758.810484490823,1957.34170563519,-353.3921160979662,-359.7790796193294,-185.31757844612022,16.822568042361276,1.0,False
sum_of_per_request_end_to_end_ttft_ms,4,Prefix45,0.45,worst,100,True,2727.0554650435224,2734.5995614887215,3175.420014181873,626.3529135182034,604.6104829292744,905.8155350678135,-29.81635420318831,0.0,False
sum_of_per_request_end_to_end_ttft_ms,5,ReComp,,recompute_no_persistence,100,False,2634.589395679068,2735.862240078859,2850.485874171136,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_end_to_end_ttft_ms,5,Prefix25,0.25,hidden,100,False,1599.754627509974,1596.608990628738,1816.1808577366173,-1034.8347681690939,-1043.240746424999,-714.6580482658469,39.27878742191492,1.0,False
sum_of_per_request_end_to_end_ttft_ms,5,Prefix25,0.25,worst,100,True,2579.4996571261436,2563.452045491431,3062.663717888063,-55.089738552924246,-80.96718793967739,284.7913025005255,2.091018002398237,0.67,False
sum_of_per_request_end_to_end_ttft_ms,5,Prefix45,0.45,hidden,100,False,2159.1274313570466,2186.5799640654586,2423.0636695807334,-475.46196432202123,-496.457903762348,-271.47176548023737,18.046909514697663,0.99,False
sum_of_per_request_end_to_end_ttft_ms,5,Prefix45,0.45,worst,100,True,3138.872460973216,3154.9443737021647,3647.6545560755767,504.2830652941484,489.27697801264003,803.1067548727151,-19.140859904819017,0.0,False
sum_of_per_request_end_to_end_ttft_ms,6,ReComp,,recompute_no_persistence,100,False,3173.969511106843,3309.1986474464647,3426.088220818201,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_end_to_end_ttft_ms,6,Prefix25,0.25,hidden,100,False,1879.9577344511636,1878.4501264453866,2131.910848536063,-1294.0117766556796,-1311.995396972634,-911.3211704301655,40.76950872172761,1.0,False
sum_of_per_request_end_to_end_ttft_ms,6,Prefix25,0.25,worst,100,True,2859.702764067333,2852.572114439681,3371.5206471621054,-314.26674703950994,-354.40013208426535,78.42528406763445,9.901378886589152,0.89,False
sum_of_per_request_end_to_end_ttft_ms,6,Prefix45,0.45,hidden,100,False,2577.5439023098443,2595.6316874944605,2910.3110316151287,-596.4256087969989,-607.8542555915192,-355.2963867783551,18.791157467325835,0.99,False
sum_of_per_request_end_to_end_ttft_ms,6,Prefix45,0.45,worst,100,True,3557.288931926014,3583.9037799742073,4115.455881302478,383.3194208191708,355.0856750225648,695.5281635571737,-12.076972367812623,0.0,False
sum_of_per_request_end_to_end_ttft_ms,7,ReComp,,recompute_no_persistence,100,False,3718.0732563266065,3873.6646019970067,4002.6985425909515,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_end_to_end_ttft_ms,7,Prefix25,0.25,hidden,100,False,2162.5140629941598,2156.1757720191963,2454.7697116911877,-1555.5591933324467,-1573.952462815214,-1101.7120600794449,41.83777688310835,1.0,False
sum_of_per_request_end_to_end_ttft_ms,7,Prefix25,0.25,worst,100,True,3142.2590926103294,3130.0743609899655,3687.000552617246,-575.8141637162771,-610.2826215792447,-135.04662469495088,15.486896680598806,0.98,False
sum_of_per_request_end_to_end_ttft_ms,7,Prefix45,0.45,hidden,100,False,2999.414362992393,3028.966881101951,3341.0756095312536,-718.6588933342136,-730.2049284335226,-461.7066987499135,19.328798648906577,1.0,False
sum_of_per_request_end_to_end_ttft_ms,7,Prefix45,0.45,worst,100,True,3979.1593926085625,3996.72720907256,4585.002909472678,261.086136281956,233.2936670864001,624.2571055656299,-7.022081553602977,0.07,False
sum_of_per_request_end_to_end_ttft_ms,8,ReComp,,recompute_no_persistence,100,False,4266.21139357565,4443.947017483879,4580.1970816159155,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_end_to_end_ttft_ms,8,Prefix25,0.25,hidden,100,False,2449.385073542362,2430.6022474193014,2784.336548525607,-1816.8263200332876,-1835.4217647574842,-1305.7010701973932,42.58641104304367,1.0,False
sum_of_per_request_end_to_end_ttft_ms,8,Prefix25,0.25,worst,100,True,3429.1301031585317,3407.428244536277,4019.517416926101,-837.081290417118,-871.0127035155892,-319.62337723816745,19.62118641560171,0.99,False
sum_of_per_request_end_to_end_ttft_ms,8,Prefix45,0.45,hidden,100,False,3425.79286680324,3472.8355411207303,3845.52270094282,-840.4185267724097,-855.3623711341061,-526.4661427820108,19.69941123962983,1.0,False
sum_of_per_request_end_to_end_ttft_ms,8,Prefix45,0.45,worst,100,True,4405.53789641941,4442.841241601855,5031.233276653802,139.32650284375995,111.00463639013469,561.131971917348,-3.265813387812133,0.28,False
sum_of_per_request_end_to_end_ttft_ms,9,ReComp,,recompute_no_persistence,100,False,4816.7026737111155,5014.54317138996,5172.028470976511,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_end_to_end_ttft_ms,9,Prefix25,0.25,hidden,100,False,2737.9502156039234,2725.7549164351076,3077.8651521075517,-2078.752458107192,-2103.253409790341,-1513.3667396497924,43.15716785785284,1.0,False
sum_of_per_request_end_to_end_ttft_ms,9,Prefix25,0.25,worst,100,True,3717.695245220093,3698.3875455334783,4329.104475839995,-1099.0074284910224,-1111.4074309007265,-545.8324746112343,22.81659265557847,0.99,False
sum_of_per_request_end_to_end_ttft_ms,9,Prefix45,0.45,hidden,100,False,3851.4257100690156,3911.253511614632,4336.439527961193,-965.2769636420999,-985.0507057271898,-643.4287460753703,20.040202375588713,1.0,False
sum_of_per_request_end_to_end_ttft_ms,9,Prefix45,0.45,worst,100,True,4831.170739685185,4887.589467689395,5498.1760876311455,14.46806597406976,-28.381511103361845,466.55428644153284,-0.30037282668566867,0.57,False
sum_of_per_request_end_to_end_ttft_ms,10,ReComp,,recompute_no_persistence,100,False,5373.090368921403,5586.16023598006,5770.3207429731265,0.0,0.0,0.0,0.0,0.0,False
sum_of_per_request_end_to_end_ttft_ms,10,Prefix25,0.25,hidden,100,False,3024.5970189070795,2992.013105598744,3414.557877421612,-2348.4933500143234,-2375.5357142654248,-1737.7931648399694,43.708428274318436,1.0,False
sum_of_per_request_end_to_end_ttft_ms,10,Prefix25,0.25,worst,100,True,4004.342048523249,3982.0115900365636,4666.465421731118,-1368.7483203981537,-1387.9162329249084,-753.1938724743673,25.47413548663089,0.99,False
sum_of_per_request_end_to_end_ttft_ms,10,Prefix45,0.45,hidden,100,False,4278.421032708138,4362.02412849525,4821.624278387753,-1094.6693362132646,-1126.4460261445493,-742.8463681775621,20.373179326090675,1.0,False
sum_of_per_request_end_to_end_ttft_ms,10,Prefix45,0.45,worst,100,True,5258.166062324308,5340.911234670784,5963.026910473127,-114.92430659709498,-158.49037398584187,394.58805395406665,2.1388865384031286,0.71,False
