metric,level,dialog_id,method,budget,scenario,break_even_turn,censored_at_turn_10,stays_better_through_turn_10,better_at_turn_2,two_turn_ours_ms,two_turn_recomp_ms,two_turn_delta_ms,ten_turn_ours_ms,ten_turn_recomp_ms,ten_turn_delta_ms
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:161902,Prefix25,0.25,worst,6,False,True,False,1814.5604610908777,1011.591515969485,802.9689451213926,3884.1252519050613,5233.798971166834,-1349.673719261773
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:161902,Prefix45,0.45,hidden,2,False,True,True,888.4623049525544,1011.591515969485,-123.12921101693064,3972.576202824712,5233.798971166834,-1261.2227683421224
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:161902,Prefix45,0.45,worst,10,False,True,False,1963.1409730063751,1011.591515969485,951.5494570368901,5047.2548708785325,5233.798971166834,-186.5441002883017
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:172461,Prefix25,0.25,hidden,2,False,True,True,709.859044989571,1029.9091188935563,-320.0500739039853,2748.3153509674594,5217.103424947709,-2468.7880739802495
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:172461,Prefix25,0.25,worst,5,False,True,False,1805.5032578995451,1029.9091188935563,775.5941390059888,3843.9595638774335,5217.103424947709,-1373.1438610702753
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:172461,Prefix45,0.45,hidden,2,False,True,True,873.0145459994674,1029.9091188935563,-156.89457289408892,3815.2327679563314,5217.103424947709,-1401.8706569913775
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:172461,Prefix45,0.45,worst,9,False,True,False,1968.6587589094415,1029.9091188935563,938.7496400158852,4910.8769808663055,5217.103424947709,-306.2264440814033
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:174525,Prefix25,0.25,hidden,2,False,True,True,812.7302911598235,1093.2439221069217,-280.51363094709814,3027.2619432071224,5589.745796052739,-2562.4838528456166
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:174525,Prefix25,0.25,worst,5,False,True,False,1713.8971402309835,1093.2439221069217,620.6532181240618,3928.4287922782823,5589.745796052739,-1661.3170037744567
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:174525,Prefix45,0.45,hidden,2,False,True,True,946.9287479296327,1093.2439221069217,-146.315174177289,4435.633278917521,5589.745796052739,-1154.1125171352178
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:174525,Prefix45,0.45,worst,8,False,True,False,1848.0955970007926,1093.2439221069217,754.851674893871,5336.800127988681,5589.745796052739,-252.94566806405783
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:174686,Prefix25,0.25,hidden,2,False,True,True,768.8659200211987,1027.0821381127462,-258.2162180915475,2803.913257084787,5272.726039169356,-2468.8127820845693
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:174686,Prefix25,0.25,worst,5,False,True,False,1612.93418193236,1027.0821381127462,585.8520438196138,3647.981518995948,5272.726039169356,-1624.744520173408
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:174686,Prefix45,0.45,hidden,2,False,True,True,882.9030150081962,1027.0821381127462,-144.17912310454994,3887.94182788115,5272.726039169356,-1384.7842112882063
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:174686,Prefix45,0.45,worst,8,False,True,False,1726.9712769193575,1027.0821381127462,699.8891388066113,4732.010089792311,5272.726039169356,-540.715949377045
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:174813,Prefix25,0.25,hidden,2,False,True,True,528.7204680498689,690.1592490030453,-161.43878095317632,2314.3830641638488,3593.6933616176248,-1279.310297453776
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:174813,Prefix25,0.25,worst,7,False,True,False,1198.823277023621,690.1592490030453,508.66402802057564,2984.4858731376007,3593.6933616176248,-609.207488480024
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:174813,Prefix45,0.45,hidden,2,False,True,True,667.8088869666681,690.1592490030453,-22.35036203637719,3350.6312237586826,3593.6933616176248,-243.06213785894215
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:174813,Prefix45,0.45,worst,,True,,False,1337.91169594042,690.1592490030453,647.7524469373748,4020.7340327324346,3593.6933616176248,427.0406711148098
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:175667,Prefix25,0.25,hidden,2,False,True,True,836.1629740102217,1098.4028570819646,-262.23988307174295,3334.62394005619,5622.26948607713,-2287.64554602094
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:175667,Prefix25,0.25,worst,6,False,True,False,2074.9843039084226,1098.4028570819646,976.581446826458,4573.445269954391,5622.26948607713,-1048.824216122739
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:175667,Prefix45,0.45,hidden,2,False,True,True,965.5234020901844,1098.4028570819646,-132.87945499178022,4593.504129908979,5622.26948607713,-1028.765356168151
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:175667,Prefix45,0.45,worst,,True,,False,2204.3447319883853,1098.4028570819646,1105.9418749064207,5832.32545980718,5622.26948607713,210.05597373005003
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:17842,Prefix25,0.25,hidden,2,False,True,True,838.8949621003121,1083.6669300915673,-244.77196799125522,2945.7785771228373,5597.454961156473,-2651.6763840336353
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:17842,Prefix25,0.25,worst,5,False,True,False,1905.140761169605,1083.6669300915673,821.4738310780376,4012.02437619213,5597.454961156473,-1585.4305849643424
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:17842,Prefix45,0.45,hidden,2,False,True,True,982.985547860153,1083.6669300915673,-100.68138223141432,4385.875362786464,5597.454961156473,-1211.5795983700082
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:17842,Prefix45,0.45,worst,9,False,True,False,2049.231346929446,1083.6669300915673,965.5644168378785,5452.121161855757,5597.454961156473,-145.33379930071533
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:180478,Prefix25,0.25,hidden,2,False,True,True,865.4010120080784,1126.4820719370618,-261.08105992898345,3413.2407251745462,5790.724137914367,-2377.483412739821
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:180478,Prefix25,0.25,worst,6,False,True,False,2115.3348019579425,1126.4820719370618,988.8527300208807,4663.17451512441,5790.724137914367,-1127.5496227899566
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:180478,Prefix45,0.45,hidden,2,False,True,True,987.733697053045,1126.4820719370618,-138.7483748840168,4654.5611042529345,5790.724137914367,-1136.1630336614326
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:180478,Prefix45,0.45,worst,,True,,False,2237.667487002909,1126.4820719370618,1111.1854150658473,5904.494894202799,5790.724137914367,113.77075628843158
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:191618,Prefix25,0.25,hidden,2,False,True,True,867.8814138984308,1125.2782648662105,-257.39685096777976,3471.050775726326,5652.42031973321,-2181.369544006884
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:191618,Prefix25,0.25,worst,7,False,True,False,2132.522880914621,1125.2782648662105,1007.2446160484105,4735.692242742516,5652.42031973321,-916.7280769906938
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:191618,Prefix45,0.45,hidden,2,False,True,True,1018.8199110561982,1125.2782648662105,-106.45835381001234,4781.047155032866,5652.42031973321,-871.3731647003442
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:191618,Prefix45,0.45,worst,,True,,False,2283.4613780723885,1125.2782648662105,1158.183113206178,6045.688622049056,5652.42031973321,393.2683023158461
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:195881,Prefix25,0.25,hidden,2,False,True,True,769.9053080286831,1031.8918079137802,-261.98649988509715,2860.213474952616,5285.659259883687,-2425.445784931071
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:195881,Prefix25,0.25,worst,5,False,True,False,1701.941366889514,1031.8918079137802,670.0495589757338,3792.2495338134468,5285.659259883687,-1493.4097260702401
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:195881,Prefix45,0.45,hidden,2,False,True,True,966.5654639247805,1031.8918079137802,-65.32634398899972,4143.83201894816,5285.659259883687,-1141.8272409355268
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:195881,Prefix45,0.45,worst,9,False,True,False,1898.6015227856115,1031.8918079137802,866.7097148718312,5075.868077808991,5285.659259883687,-209.79118207469583
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:200633,Prefix25,0.25,hidden,2,False,True,True,782.4656938901171,1011.9223571382463,-229.4566632481292,2981.5635018749163,5174.446222372353,-2192.882720497437
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:200633,Prefix25,0.25,worst,5,False,True,False,1715.1585510000587,1011.9223571382463,703.2361938618124,3914.256358984858,5174.446222372353,-1260.1898633874953
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:200633,Prefix45,0.45,hidden,2,False,True,True,904.9621369922534,1011.9223571382463,-106.96022014599293,4068.647339125164,5174.446222372353,-1105.7988832471892
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:200633,Prefix45,0.45,worst,9,False,True,False,1837.654994102195,1011.9223571382463,825.7326369639486,5001.340196235105,5174.446222372353,-173.10602613724768
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:209351,Prefix25,0.25,hidden,2,False,True,True,836.0180881572887,1126.818336895667,-290.8002487383783,3353.1711430987343,5749.030638718978,-2395.8594956202433
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:209351,Prefix25,0.25,worst,5,False,True,False,1778.4748051781207,1126.818336895667,651.6564682824537,4295.627860119566,5749.030638718978,-1453.4027785994112
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:209351,Prefix45,0.45,hidden,2,False,True,True,1016.9026900548488,1126.818336895667,-109.91564684081823,4784.6247180132195,5749.030638718978,-964.405920705758
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:209351,Prefix45,0.45,worst,10,False,True,False,1959.3594070756808,1126.818336895667,832.5410701800138,5727.0814350340515,5749.030638718978,-21.949203684926033
sum_of_per_request_end_to_end_ttft_ms,dialog,visdial:212772,Prefix25,0.25,hidden,2,False,True,True,779.1011108784005,1082.3172399541363,-303.2161290757358,2954.498177859932,5638.584912987426,-2684.0867351274937
