chunks_selected,d_vs_fullload_pp,dataset,hook_ms,key,method,model_ms,n,scatter_ms,score,score_ci_hi,score_ci_lo,selector_ms,selector_ms_p50,selector_ms_p95,speedup_vs_fullload,ssd_mb,ssd_ms,ssd_ms_p50,ssd_ms_p95,ssd_ratio,touched_chunk,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms
,0.42194092827003704,gqa_large,,recompute,ReComp,,1185,,63.79746835443038,66.49789029535866,61.01265822784811,,,,1.3148021695086922,,,,,,,539.1363081439764,540.8690515905619,617.8721651434898
,0.0,gqa_large,616.3156857910539,fullload,FullLoad,,1185,,63.37552742616034,66.07594936708861,60.59071729957806,,,,1.0,1170.0807394835442,416.6101874398531,412.34393417835236,505.0076853483915,1.0,1.0,708.857587608607,703.5026401281357,838.4237483143806
,-0.08438818565400519,gqa_large,687.4757256154521,sparsevlm,SparseVLM,,1185,,63.29113924050633,66.07594936708861,60.50632911392405,,,,0.8884647864084668,932.4398341400844,417.6710515286978,417.4701068550348,507.65730775892735,0.7969021304902849,0.7425136787746318,797.845450323468,802.3691792041063,933.0335792154074
8.559493670886075,-2.9535864978902926,gqa_large,0.0,static_diverse_chunk@25,Static+Diverse 25%,70.09031980726789,1185,51.88063044368215,60.42194092827005,63.20675105485232,57.63713080168776,14.88079637729166,15.079943463206291,17.988164350390434,1.8154124470039366,301.23191023797466,216.53056906119681,213.83884362876415,269.5051081478595,0.25744540532385296,0.24244360994238,390.4664137223853,388.5313831269741,469.8931138962507
17.475949367088607,-0.42194092827004814,gqa_large,0.0,static_diverse_chunk@50,Static+Diverse 50%,72.26542942697489,1185,90.696371433164,62.95358649789029,65.65611814345988,60.16877637130802,21.909503786498483,22.363582625985146,24.993491917848583,1.1498371252063413,595.6067639088608,352.39817970098323,349.136296659708,422.22568802535534,0.509030482949196,0.49555366718884525,616.4852152268093,616.5895480662584,726.3699673116207
,0.0,gqa_large_calib4,584.8400922610035,fullload,FullLoad,,395,,64.55696202531645,69.12025316455687,59.74683544303797,,,,1.0,1170.0807394835444,382.14173091551925,378.36191430687904,473.6944332718849,1.0,1.0,680.7862056961542,672.87477850914,826.1790575459598
,-1.0126582278481067,gqa_large_calib4,680.4339658327495,sparsevlm,SparseVLM,,395,,63.54430379746835,68.35443037974683,58.734177215189874,,,,0.8642418419700825,923.897202713924,410.7029299664346,411.51750832796097,496.53254244476557,0.7896012399295778,0.7353209096539892,787.7265050535716,796.0444502532482,918.0738078430294
8.559493670886075,-0.25316455696202667,gqa_large_calib4,0.0,static_diverse_chunk@25,Static+Diverse 25%,69.03852369117585,395,52.316308337487754,64.30379746835443,68.86708860759485,59.49367088607595,14.864363139377364,15.066247433423996,17.83678699284792,1.7621835448760117,301.3492943392405,212.2993999644171,210.49413084983826,259.5779359340668,0.2575457266925455,0.24244360994238,386.33104234556606,382.8625902533531,444.56628561019875
17.475949367088607,-0.75949367088608,gqa_large_calib4,0.0,static_diverse_chunk@50,Static+Diverse 50%,71.32274096336546,395,90.89872309395784,63.79746835443038,68.60759493670886,58.9873417721519,21.43076305996768,21.938342601060867,24.181293323636044,1.1203970722895988,595.9660505113924,344.4923780104028,345.6869572401047,408.75310152769083,0.5093375443257382,0.49555366718884525,607.6294043726182,611.1250296235085,702.1661257371304
,0.23333333333334094,vqav2,,recompute,ReComp,,1000,,81.56666666666666,83.76666666666667,79.33333333333333,,,,1.314392368699661,,,,,,,544.6600322965533,538.9555804431438,723.8738908432424
,0.0,vqav2,617.8113305903971,fullload,FullLoad,,1000,,81.33333333333333,83.53333333333333,79.10000000000001,,,,1.0,1176.493883392,418.5039894785732,415.69730173796415,513.0920769646764,1.0,1.0,715.8969899863005,708.433068357408,854.2277777567505
,-0.3333333333333188,vqav2,669.7042964417487,sparsevlm,SparseVLM,,1000,,81.0,83.16666666666667,78.76666666666667,,,,0.9105846229371789,909.4564413439999,406.4040106907487,404.47046328336,499.95815856382245,0.7730226686108278,0.7180993119464938,786.1949037499726,790.3031408786774,926.2100606225431
8.632,-1.3000000000000012,vqav2,0.0,static_diverse_chunk@25,Static+Diverse 25%,74.42206228524446,1000,51.78773494437337,80.03333333333332,82.26666666666668,77.7,14.69708970747888,14.804248698055744,18.101315200328827,1.8184381749311205,304.007610368,216.02551560103893,212.40661852061749,272.8019726462662,0.2584013522378056,0.24303335773848495,393.6878359988332,386.678796261549,491.8848764151335
17.6,0.13333333333335196,vqav2,0.0,static_diverse_chunk@50,Static+Diverse 50%,77.05721437744796,1000,90.98932839185,81.46666666666668,83.66749999999999,79.26666666666667,22.04993705637753,22.435917519032955,26.93778863176703,1.1491837156371456,599.985750016,352.9336650520563,348.32474030554295,450.98289009183645,0.5099777895029555,0.49638145444644033,622.9613074436784,616.9824190437794,786.186661478132
,0.0,textvqa,,recompute,ReComp,,500,,61.93333333333333,66.13333333333333,57.8,,,,1.2474901842000161,,,,,,,590.5272414647043,568.849291652441,781.7126478999846
,0.0,textvqa,612.8688911609352,fullload,FullLoad,,500,,61.93333333333333,66.13333333333333,57.8,,,,1.0,1207.5338301440001,402.03770914301276,389.11479990929365,527.8472757898271,1.0,1.0,736.6769372299314,723.4950996935368,921.5217463672161
,-0.06666666666665932,textvqa,687.7772439420223,sparsevlm,SparseVLM,,500,,61.86666666666667,66.0,57.66666666666668,,,,0.8877864370233565,913.701175296,415.34776271879673,411.6670060902834,507.66237359493954,0.7566671446273598,0.7025071867838331,829.7907092384994,826.0534172877669,998.2781134545802
8.904,-1.8000000000000016,textvqa,0.0,static_diverse_chunk@25,Static+Diverse 25%,101.11511974409223,500,53.208057411015034,60.133333333333326,64.26666666666667,55.866666666666674,15.011966478079557,15.06736595183611,18.368141632527113,1.7048649759760455,314.381041664,224.17690839990973,217.94693917036057,294.3535652942955,0.26034967618796206,0.24402255072598503,432.1028043925762,419.46249175816774,547.1827078610659
18.044,0.666666666666671,textvqa,0.0,static_diverse_chunk@50,Static+Diverse 50%,103.46755983307958,500,93.8214815557003,62.6,66.66666666666667,58.4,22.359975516796112,22.545569576323032,27.776731830090284,1.1005208503965827,616.430829568,366.6785727441311,356.90805595368147,484.6354773268103,0.5104874200456063,0.4955602883963129,669.3893504738808,648.5676346346736,850.080420821905
