method_key,method,retention,retention_kind,n_requests,n_images,accuracy,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_std_ms,decode_mean_ms,decode_p50_ms,decode_p95_ms,e2e_latency_mean_ms,e2e_latency_p50_ms,e2e_latency_p95_ms,generated_tokens_mean,ssd_read_bytes_mean,ssd_read_bytes_total,ssd_read_mb_mean,ssd_read_chunks_mean,prepare_mean_ms,selector_mean_ms,ssd_read_mean_ms,scatter_mean_ms,prefill_mean_ms,normal_chunk_count_total_mean,normal_kv_read_bytes_mean,separator_read_bytes_mean,normal_kv_preads_mean,separator_preads_mean,mean_bytes_per_pread_mean,normal_mean_bytes_per_pread_mean,separator_mean_bytes_per_pread_mean,static_score_calls_mean,query_score_calls_mean,diversity_calls_mean,ttft_reduction_vs_fullload_pct,ttft_reduction_vs_recompute_pct
fullload,FullLoad,1.0,full,240,40,0.6125,727.3679585234883,716.2358425557613,955.1364303333685,123.26304999093111,30.96600814218012,22.568729531485587,58.58650293084789,758.3339666656684,748.5092579736374,992.8990160173271,2.375,1165072793.6,279617470464,1165.0727936,2248.0,,,438.42906492839876,,722.2963363965391,,1165072793.6,0.0,64.0,0.0,18204262.4,18204262.4,0.0,,,,0.0,
visionzip_repack_prefix@25,ImageOnly-Repack+Prefix,0.25,chunk,240,40,0.5791666666666667,265.17041861273657,264.9950459599495,317.01793652027845,27.40037178723416,26.517146948996622,19.460961455479264,55.952523113228374,291.6875655617332,290.8204040140845,346.34668145445175,2.379166666666667,306079334.4,73459040256,306.0793344,545.6,218.03708185664922,0.21843182815549275,131.91107243813653,51.948216029268224,47.07298958916605,272.8,286051532.8,20027801.6,64.0,1.0,4708912.836923077,4469555.2,20027801.6,0.0,0.0,0.0,63.543841118460044,
visionzip_repack_prefix@50,ImageOnly-Repack+Prefix,0.5,chunk,240,40,0.6,435.30895897662657,439.44228696636856,510.6727332749869,48.84319994874341,26.448684395775974,19.448748498689383,55.93348121037707,461.7576433724025,465.3049760381691,536.5108988189604,2.370833333333333,603874918.4,144929980416,603.8749184000001,1113.6,387.5833099814675,0.3452402670518495,231.26669524984513,88.70042218525971,47.66078419876673,556.8,583847116.8,20027801.6,64.0,1.0,9290383.359999998,9122611.2,20027801.6,0.0,0.0,0.0,40.15285470365279,
visionzip_repack_prefix@20,ImageOnly-Repack+Prefix,0.2,chunk,240,40,0.5458333333333333,233.77603205056707,236.50488298153505,270.2568641223479,25.438654714242045,27.83996744644052,19.549400953110307,56.71027725911698,261.6159994970076,261.70838600955904,311.7795505095273,2.4541666666666666,252392243.2,60574138368,252.3922432,443.2,188.19026820662353,0.1887407313915901,113.71262455068063,44.927548385749105,45.527273593082406,221.6,232364441.6,20027801.6,64.0,1.0,3882957.587692308,3630694.4,20027801.6,0.0,0.0,0.0,67.86000409955948,
visionzip_repack_prefix@30,ImageOnly-Repack+Prefix,0.3,chunk,240,40,0.5875,300.06315525873407,304.0774160181172,353.40700882370584,32.73005782657109,26.57036032129933,19.461163552477956,56.48788653197698,326.6335155800334,327.044615522027,390.1892098074313,2.379166666666667,371510476.8,89162514432,371.51047679999994,670.4,252.58333207069276,0.25881233644516516,152.65410771147194,59.676790678834855,47.418711186522465,335.2,351482675.2,20027801.6,64.0,1.0,5715545.796923077,5491916.8,20027801.6,0.0,0.0,0.0,58.74671797918572,
visionzip_repack_prefix@35,ImageOnly-Repack+Prefix,0.35,chunk,240,40,0.5916666666666667,336.78344151267083,341.11826645676047,387.5131241045892,35.40204909325983,27.085739829635713,19.47788504185155,56.61491150967777,363.86918134230655,366.9853239553049,420.1278056658339,2.379166666666667,435263897.6,104463335424,435.26389760000006,792.0,288.7097069295123,0.29224386962596327,173.96574719750788,67.75995398929808,48.01137500811213,396.0,415236096.0,20027801.6,64.0,1.0,6696367.655384616,6488064.0,20027801.6,0.0,0.0,0.0,53.698339668918024,
visionzip_repack_prefix@40,ImageOnly-Repack+Prefix,0.4,chunk,240,40,0.5916666666666667,375.3228329941824,382.49789498513564,428.84283096063876,40.39179450196712,26.627526216907427,19.4444049266167,56.41508252010681,401.95035921108985,407.71510353079066,461.139181611361,2.375,498178457.6,119562829824,498.17845760000006,912.0,326.2415017098344,0.32086254310949397,195.86256607047594,75.8381927657562,49.01754185314834,456.0,478150656.0,20027801.6,64.0,1.0,7664283.963076923,7471104.0,20027801.6,0.0,0.0,0.0,48.39986713793876,
visionzip_repack_prefix@45,ImageOnly-Repack+Prefix,0.45,chunk,240,40,0.6041666666666666,404.7841333163281,412.62356052175164,470.06742027588183,50.03723905628521,27.054592741963763,19.405221450142562,56.237926648464054,431.8387260582919,440.68899255944416,503.84343290934333,2.370833333333333,551026688.0,132246405120,551.0266879999999,1012.8,356.009592198825,0.3320281670312397,213.18852173086876,81.936746815821,48.710940173865914,506.4,530998886.4,20027801.6,64.0,1.0,8477333.661538461,8296857.6,20027801.6,0.0,0.0,0.0,44.34946871484212,
