budget,budget_pct,n_images,n_image_layers,selected_chunks_per_layer_mean,realized_normal_token_fraction_mean,accuracy,accuracy_pct,visionzip_mass_macro,visionzip_mass_global,sparsevlm_analysis_only_mass_macro,sparsevlm_analysis_only_mass_global
0.2,20.0,40,1280,6.925,0.20357290826245827,0.5458333333333333,54.58333333333333,0.6800580145186581,0.6809681724543588,0.35818947079530317,0.3122347446312741
0.25,25.0,40,1280,8.525,0.2498876931752599,0.5791666666666667,57.91666666666667,0.7315167233779931,0.7327172233592055,0.4159540637006181,0.3673716917937846
0.3,30.0,40,1280,10.475,0.30691412673830676,0.5875,58.75,0.7840829714019799,0.7851947943274433,0.479784584105084,0.42768341577178237
0.35,35.0,40,1280,12.375,0.36248576590796266,0.5916666666666667,59.166666666666664,0.826513263268936,0.8275469584841137,0.5422051697160948,0.48641484273751423
0.4,40.0,40,1280,14.25,0.4174456401580734,0.5916666666666667,59.166666666666664,0.8618618319173482,0.8627965039582449,0.5978746666069095,0.5400864366203252
0.45,45.0,40,1280,15.825,0.4629667742772243,0.6041666666666666,60.416666666666664,0.8867964528843586,0.8878544340666608,0.6381726922128677,0.5812625365430375
0.5,50.0,40,1280,17.4,0.5104431753516422,0.6,60.0,0.9095100910472047,0.9099199947831865,0.6809894021283852,0.6238756302900738
