method_key,method,budget,budget_pct,n_requests,accuracy,accuracy_pct,accuracy_delta_vs_fullload_pp,accuracy_delta_vs_fullload_image_cluster_ci95_lo_pp,accuracy_delta_vs_fullload_image_cluster_ci95_hi_pp,mcnemar_method_only_correct_vs_fullload,mcnemar_fullload_only_correct,mcnemar_p_exact_two_sided,accuracy_delta_vs_recompute_pp,accuracy_delta_vs_recompute_image_cluster_ci95_lo_pp,accuracy_delta_vs_recompute_image_cluster_ci95_hi_pp,mcnemar_method_only_correct_vs_recompute,mcnemar_recompute_only_correct,mcnemar_p_exact_two_sided_vs_recompute,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_reduction_vs_fullload_pct,ttft_reduction_vs_recompute_pct,ssd_read_mb_mean,ssd_read_bytes_mean,ssd_preads_mean
recompute,ReComp (pixel recomputation),,,240,0.625,62.5,1.2499999999999956,0.0,2.9166666666666665,3,0,0.25,0.0,0.0,0.0,0,0,1.0,504.10808549204376,508.8957665138878,590.2563693176485,30.368785504787365,0.0,0.0,0.0,0.0
fullload,ImageOnly-Repack FullLoad,,,240,0.6125,61.25000000000001,0.0,0.0,0.0,0,0,1.0,-1.2499999999999956,-2.9166666666666665,0.0,0,3,0.25,723.96853788426,724.3801850127056,885.1713332056534,0.0,-43.61375243121075,1165.0727935999998,1165072793.6,64.0
visionzip_repack_prefix@20,ImageOnly-Repack + Prefix,0.2,20.0,240,0.5458333333333333,54.58333333333333,-6.666666666666677,-12.916666666666668,-0.4166666666666675,15,31,0.02589608179323477,-7.916666666666671,-14.166666666666666,-1.666666666666668,13,32,0.00660882284228137,235.44546197226737,234.92057604016736,282.3150705662556,67.47849531412817,53.29464677352742,252.3922432,252392243.2,65.0
visionzip_repack_prefix@25,ImageOnly-Repack + Prefix,0.25,25.0,240,0.5791666666666667,57.91666666666667,-3.3333333333333326,-8.75,2.083333333333333,11,19,0.20048842206597328,-4.583333333333329,-10.0,0.4166666666666661,9,20,0.06142834573984146,262.6228356991002,264.23239801079035,309.97254996327683,63.72455128138657,47.903466883939686,306.0793344,306079334.4,65.0
visionzip_repack_prefix@30,ImageOnly-Repack + Prefix,0.3,30.0,240,0.5875,58.75,-2.500000000000002,-7.083333333333333,2.083333333333333,11,17,0.34492845088243484,-3.749999999999998,-7.916666666666668,0.4166666666666663,9,18,0.12207812070846558,299.2817612326083,300.5310804583132,353.6377163312863,58.6609437328264,40.63143007506238,371.5104768,371510476.8,65.0
visionzip_repack_prefix@35,ImageOnly-Repack + Prefix,0.35,35.0,240,0.5916666666666667,59.166666666666664,-2.083333333333337,-6.25,2.0833333333333335,9,14,0.4048728942871094,-3.3333333333333326,-7.500000000000001,0.8333333333333334,8,16,0.15158963203430176,337.5077016297534,339.93277949048206,399.0884637401905,53.38088826123679,33.0485442818631,435.2638976,435263897.6,65.0
visionzip_repack_prefix@40,ImageOnly-Repack + Prefix,0.4,40.0,240,0.5916666666666667,59.166666666666664,-2.083333333333337,-5.833333333333333,1.6666666666666656,5,10,0.3017578125,-3.3333333333333326,-7.083333333333333,-4.839878497975544e-16,4,12,0.076812744140625,375.62377504703664,379.7292919480242,437.4343971256166,48.11600844633842,25.487452818694166,498.1784576,498178457.6,65.0
visionzip_repack_prefix@45,ImageOnly-Repack + Prefix,0.45,45.0,240,0.6041666666666666,60.416666666666664,-0.8333333333333415,-3.7500000000000013,2.0833333333333335,4,6,0.75390625,-2.083333333333337,-4.583333333333335,0.4166666666666664,2,7,0.1796875,406.2800569178459,411.30342008545995,474.47762372903526,43.88153135698869,19.406161374839094,551.026688,551026688.0,65.0
visionzip_repack_prefix@50,ImageOnly-Repack + Prefix,0.5,50.0,240,0.6,60.0,-1.2500000000000067,-4.177083333333326,2.0833333333333326,4,7,0.548828125,-2.500000000000002,-5.416666666666668,-6.938893903907228e-17,2,8,0.109375,440.42640991538065,443.5577060212381,522.7264952030964,39.16497929557939,12.632543974077592,603.8749184,603874918.4,65.0
