method_key,budget,budget_pct,accuracy,accuracy_pct,ttft_mean_ms,is_pareto_optimal,dominated_by,frontier_population,recompute_excluded,recompute_exclusion_reason
recompute,,,0.625,62.5,504.10808549204376,True,[],all_nine_same_run_methods,False,
fullload,,,0.6125,61.25000000000001,723.96853788426,False,"[""recompute""]",all_nine_same_run_methods,False,
visionzip_repack_prefix@20,0.2,20.0,0.5458333333333333,54.58333333333333,235.44546197226737,True,[],all_nine_same_run_methods,False,
visionzip_repack_prefix@25,0.25,25.0,0.5791666666666667,57.91666666666667,262.6228356991002,True,[],all_nine_same_run_methods,False,
visionzip_repack_prefix@30,0.3,30.0,0.5875,58.75,299.2817612326083,True,[],all_nine_same_run_methods,False,
visionzip_repack_prefix@35,0.35,35.0,0.5916666666666667,59.166666666666664,337.5077016297534,True,[],all_nine_same_run_methods,False,
visionzip_repack_prefix@40,0.4,40.0,0.5916666666666667,59.166666666666664,375.62377504703664,False,"[""visionzip_repack_prefix@35""]",all_nine_same_run_methods,False,
visionzip_repack_prefix@45,0.45,45.0,0.6041666666666666,60.416666666666664,406.2800569178459,True,[],all_nine_same_run_methods,False,
visionzip_repack_prefix@50,0.5,50.0,0.6,60.0,440.42640991538065,False,"[""visionzip_repack_prefix@45""]",all_nine_same_run_methods,False,
