method_key,method,budget,budget_pct,n_requests,n_images,accuracy,accuracy_pct,accuracy_image_cluster_ci95_lo_pct,accuracy_image_cluster_ci95_hi_pct,accuracy_delta_vs_fullload_pp,accuracy_delta_image_cluster_ci95_lo_pp,accuracy_delta_image_cluster_ci95_hi_pp,mcnemar_budget_only_correct,mcnemar_fullload_only_correct,mcnemar_p_exact_two_sided,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,decode_mean_ms,decode_p50_ms,decode_p95_ms,e2e_mean_ms,e2e_p50_ms,e2e_p95_ms,selector_mean_ms,selector_p50_ms,selector_p95_ms,ssd_read_mean_ms,ssd_read_p50_ms,ssd_read_p95_ms,scatter_mean_ms,scatter_p50_ms,scatter_p95_ms,prepare_mean_ms,prepare_p50_ms,prepare_p95_ms,prefill_mean_ms,prefill_p50_ms,prefill_p95_ms,normal_kv_read_bytes_mean,separator_read_bytes_mean,ssd_read_bytes_mean,normal_kv_preads_mean,separator_preads_mean,ssd_preads_mean,mean_bytes_per_pread_mean,ssd_read_chunks_mean,n_chunks_selected_mean,n_chunks_selected_min,n_chunks_selected_max,n_chunks_total_mean,n_chunks_total_min,n_chunks_total_max,touched_chunk_fraction_mean,logical_kv_ratio_mean,ssd_read_mb_mean,ssd_read_bytes_total,normal_kv_read_mb_mean,separator_read_mb_mean,accuracy_delta_vs_fullload_image_cluster_ci95_lo_pp,accuracy_delta_vs_fullload_image_cluster_ci95_hi_pp,mcnemar_method_only_correct_vs_fullload,accuracy_delta_vs_recompute_pp,accuracy_delta_vs_recompute_image_cluster_ci95_lo_pp,accuracy_delta_vs_recompute_image_cluster_ci95_hi_pp,mcnemar_method_only_correct_vs_recompute,mcnemar_recompute_only_correct,mcnemar_p_exact_two_sided_vs_recompute,ttft_reduction_vs_recompute_pct,ttft_speedup_vs_recompute,ttft_speedup_vs_fullload,ttft_reduction_vs_fullload_pct,ssd_reduction_vs_fullload_pct,ssd_read_ratio_vs_fullload,accuracy_loss_vs_fullload_pp
recompute,ReComp (pixel recomputation),,,240,40,0.625,62.5,55.41666666666666,69.58333333333334,1.2499999999999956,0.0,2.9166666666666665,3,0,0.25,504.10808549204376,508.8957665138878,590.2563693176485,26.11158399862082,19.3889900110662,55.761609110049896,530.2196694906646,535.4914019699208,625.0636282318735,,,,0.0,0.0,0.0,,,,,,,504.1078955323125,508.895416976884,590.256171196233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0,0.0,0.0,0.0,2.9166666666666665,3,0.0,0.0,0.0,0,0,1.0,0.0,1.0,1.4361375243121075,30.368785504787365,,,-1.249999999999993
fullload,ImageOnly-Repack FullLoad,,,240,40,0.6125,61.25000000000001,53.75,68.33333333333333,0.0,0.0,0.0,0,0,1.0,723.96853788426,724.3801850127056,885.1713332056534,32.26183121829914,24.18010152177885,58.46269372850656,756.230369102559,752.0326335215941,909.940534614725,,,,448.2548506076758,446.7437785351649,554.4785764010157,,,,,,,719.1136307495375,719.6041659917682,880.2399952779524,1165072793.6,0.0,1165072793.6,64.0,0.0,64.0,18204262.4,2248.0,,,,,,,1.0,1.0,1165.0727935999998,279617470464,1165.0727935999998,0.0,0.0,0.0,0,-1.2499999999999956,-2.9166666666666665,0.0,0,3,0.25,-43.61375243121075,0.6963121449521263,1.0,0.0,0.0,1.0,0.0
visionzip_repack_prefix@20,ImageOnly-Repack + Prefix,0.2,20.0,240,40,0.5458333333333333,54.58333333333333,47.5,61.66666666666667,-6.666666666666677,-12.916666666666668,-0.4166666666666675,15,31,0.02589608179323477,235.44546197226737,234.92057604016736,282.3150705662556,28.470008611717883,19.708083069417626,57.829058502102264,263.91547058398527,259.78036696324125,312.6823261554818,0.18572200109095624,0.187906960491091,0.21759591181762516,114.05655801305936,110.23270798614249,151.43728575203568,45.90352761297254,45.947879378218204,54.17286565061658,188.9646696052902,188.2046830141917,231.58617423614487,46.42228353283523,43.86186151532456,63.125338160898515,232364441.6,20027801.6,252392243.2,64.0,1.0,65.0,3882957.587692308,443.2,6.925,5.0,9.0,35.125,23.0,46.0,0.19780632435315978,0.2172386370031461,252.3922432,60574138368,232.3644416,20.0278016,-12.916666666666668,-0.4166666666666675,15,-7.916666666666671,-14.166666666666666,-1.666666666666668,13,32,0.00660882284228137,53.29464677352742,2.141082190623923,3.0748884765913846,67.47849531412817,78.33678336783368,0.2166321663216632,6.6666666666666785
visionzip_repack_prefix@25,ImageOnly-Repack + Prefix,0.25,25.0,240,40,0.5791666666666667,57.91666666666667,50.416666666666664,65.41666666666667,-3.3333333333333326,-8.75,2.083333333333333,11,19,0.20048842206597328,262.6228356991002,264.23239801079035,309.97254996327683,27.198995597912774,19.631834991741925,57.04500389983877,289.821831297013,287.64624253381044,346.6684348182752,0.21819171670358628,0.22113986779004335,0.2622734988108277,130.92247983586276,128.83063196204603,170.39366391254586,52.37574358858789,53.72690688818693,58.93189553753472,217.11549106645785,217.2765449504368,269.49432897381485,45.44852424345057,42.421234014909714,62.41146252723407,286051532.8,20027801.6,306079334.4,64.0,1.0,65.0,4708912.836923077,545.6,8.525,6.0,12.0,35.125,23.0,46.0,0.2428141888895561,0.2627658354083044,306.0793344,73459040256,286.0515328,20.0278016,-8.75,2.083333333333333,11,-4.583333333333329,-10.0,0.4166666666666661,9,20,0.06142834573984146,47.903466883939686,1.9195135264993672,2.756685403830404,63.72455128138657,73.72873728737288,0.26271262712627125,3.3333333333333357
visionzip_repack_prefix@30,ImageOnly-Repack + Prefix,0.3,30.0,240,40,0.5875,58.75,51.24999999999999,66.25,-2.500000000000002,-7.083333333333333,2.083333333333333,11,17,0.34492845088243484,299.2817612326083,300.5310804583132,353.6377163312863,27.026945090619847,19.598847546149045,57.35150049440563,326.30870632322814,328.0491009936668,389.2785866919438,0.25779128530606005,0.2653042902238667,0.30107132042758167,151.76692052094344,151.5388780971989,195.3724840830546,60.627761550131254,61.9556806050241,70.03996609710157,253.21547663140032,255.0257240072824,308.64258259534836,46.00563992134994,44.42043200833723,60.80218336428515,351482675.2,20027801.6,371510476.8,64.0,1.0,65.0,5715545.796923077,670.4,10.475,7.0,14.0,35.125,23.0,46.0,0.29822354825999375,0.31881074965899264,371.5104768,89162514432,351.48267519999996,20.0278016,-7.083333333333333,2.083333333333333,11,-3.749999999999998,-7.916666666666668,0.4166666666666663,9,18,0.12207812070846558,40.63143007506238,1.6843929393353174,2.4190199058658166,58.6609437328264,68.11268112681125,0.31887318873188736,2.500000000000007
visionzip_repack_prefix@35,ImageOnly-Repack + Prefix,0.35,35.0,240,40,0.5916666666666667,59.166666666666664,51.66666666666666,66.25,-2.083333333333337,-6.25,2.0833333333333335,9,14,0.4048728942871094,337.5077016297534,339.93277949048206,399.0884637401905,26.859096688470647,19.655476964544505,56.50583805399946,364.366798318224,364.6322460263036,426.4367630763445,0.286913294015297,0.29502803226932883,0.32673854148015374,173.48267855316712,173.0745896929875,217.38913040026088,68.76325447422762,69.75741253700107,78.4872697899118,289.9326370786487,290.528955985792,352.11734214099124,47.51276195747778,45.2122074784711,64.43668980500661,415236096.0,20027801.6,435263897.6,64.0,1.0,65.0,6696367.655384616,792.0,12.375,8.0,16.0,35.125,23.0,46.0,0.35220080218257943,0.37342407998965566,435.2638976,104463335424,415.236096,20.0278016,-6.25,2.0833333333333335,9,-3.3333333333333326,-7.500000000000001,0.8333333333333334,8,16,0.15158963203430176,33.0485442818631,1.4936195027781953,2.145043014984158,53.38088826123679,62.640626406264055,0.37359373593735945,2.083333333333343
visionzip_repack_prefix@40,ImageOnly-Repack + Prefix,0.4,40.0,240,40,0.5916666666666667,59.166666666666664,52.08333333333333,66.25,-2.083333333333337,-5.833333333333333,1.6666666666666656,5,10,0.3017578125,375.62377504703664,379.7292919480242,437.4343971256166,26.769120025467902,19.641184015199542,57.17592450091615,402.3928950725046,405.09359748102725,469.0451198024674,0.3083913140775015,0.3150436095893383,0.3401350637432187,195.31380762491608,195.0545939616859,238.15698479302227,76.94587100268109,78.50916212191805,90.22125657647847,327.8471179000917,330.6791200302541,391.18176011252217,47.71367003171084,46.189237968064845,63.35764281684532,478150656.0,20027801.6,498178457.6,64.0,1.0,65.0,7664283.963076923,912.0,14.25,9.0,18.0,35.125,23.0,46.0,0.4056260345688901,0.42744006524802725,498.1784576,119562829824,478.150656,20.0278016,-5.833333333333333,1.6666666666666656,5,-3.3333333333333326,-7.083333333333333,-4.839878497975544e-16,4,12,0.076812744140625,25.487452818694166,1.3420558521060546,1.9273767689321653,48.11600844633842,57.240572405724045,0.4275942759427595,2.083333333333343
visionzip_repack_prefix@45,ImageOnly-Repack + Prefix,0.45,45.0,240,40,0.6041666666666666,60.416666666666664,53.333333333333336,67.09374999999986,-0.8333333333333415,-3.7500000000000013,2.0833333333333335,4,6,0.75390625,406.2800569178459,411.30342008545995,474.47762372903526,27.1223083914568,19.64801049325615,57.0408983330708,433.4023653093027,437.29610048467293,510.93266335083166,0.3203822033052954,0.32692047534510493,0.3543333907146007,214.3163014673822,217.15036814566702,262.29591403389344,83.03753229799138,83.92100711353123,95.83151662372984,359.0129591219011,362.8509289701469,430.18377475673327,47.20299083031326,45.563259976916015,61.19306345935911,530998886.4,20027801.6,551026688.0,64.0,1.0,65.0,8477333.661538461,1012.8,15.825,10.0,21.0,35.125,23.0,46.0,0.44985264910528655,0.47218524996794614,551.026688,132246405120,530.9988864,20.0278016,-3.7500000000000013,2.0833333333333335,4,-2.083333333333337,-4.583333333333335,0.4166666666666664,2,7,0.1796875,19.406161374839094,1.2407896398271394,1.7819445615334597,43.88153135698869,52.704527045270446,0.4729547295472955,0.8333333333333428
visionzip_repack_prefix@50,ImageOnly-Repack + Prefix,0.5,50.0,240,40,0.6,60.0,52.91666666666666,67.08333333333333,-1.2500000000000067,-4.177083333333326,2.0833333333333326,4,7,0.548828125,440.42640991538065,443.5577060212381,522.7264952030964,26.63122827895374,19.612235017120838,56.73815306508913,467.0576381943344,469.3858214886859,548.0362371250521,0.3335082845296711,0.33763458486646414,0.3620613773819059,234.33370384348868,234.92749757133424,287.00125093455426,89.92320885639249,90.58960707625374,103.77033745753577,393.03779993448796,396.1767590371892,470.3288267715834,47.324201359879225,46.00812052376568,61.55591553542762,583847116.8,20027801.6,603874918.4,64.0,1.0,65.0,9290383.359999998,1113.6,17.4,12.0,23.0,35.125,23.0,46.0,0.49597425526053956,0.5188436582679901,603.8749184,144929980416,583.8471168,20.0278016,-4.177083333333326,2.0833333333333326,4,-2.500000000000002,-5.416666666666668,-6.938893903907228e-17,2,8,0.109375,12.632543974077592,1.1445909558168827,1.6437900216368868,39.16497929557939,48.16848168481685,0.5183151831518316,1.250000000000007
