aggregation,group,method_key,method,budget,n_sparse_rounds,n_dense_rounds,mrr,r@1,r@5,r@10,mean_rank,ndcg,logical_kv_ratio_mean,touched_chunk_fraction_mean,mrr_delta_vs_fullload,r@1_delta_vs_fullload,r@5_delta_vs_fullload,r@10_delta_vs_fullload,mean_rank_delta_vs_fullload,ndcg_delta_vs_fullload
turn,2,static_diverse@25,Static+Diverse 25%,0.25,2,0,1.0,1.0,1.0,1.0,1.0,,0.24247990815154996,0.23926868044515104,0.0,0.0,0.0,0.0,0.0,
turn,3,static_diverse@25,Static+Diverse 25%,0.25,2,1,0.625,0.5,1.0,1.0,2.5,0.4031177386213651,0.24247990815154996,0.23926868044515104,0.025000000000000022,0.0,0.0,0.0,-0.5,0.0
turn,4,static_diverse@25,Static+Diverse 25%,0.25,2,1,0.3214285714285714,0.0,0.5,1.0,4.5,0.3555215920734846,0.24247990815154996,0.23926868044515104,0.0,0.0,0.0,0.0,0.0,-0.04544549259940317
turn,5,static_diverse@25,Static+Diverse 25%,0.25,2,0,0.5166666666666667,0.5,0.5,0.5,15.5,,0.24247990815154996,0.23926868044515104,0.0015151515151515804,0.0,0.0,0.0,-1.5,
turn,6,static_diverse@25,Static+Diverse 25%,0.25,2,0,1.0,1.0,1.0,1.0,1.0,,0.24247990815154996,0.23926868044515104,0.0,0.0,0.0,0.0,0.0,
turn,7,static_diverse@25,Static+Diverse 25%,0.25,2,0,0.22916666666666666,0.0,0.5,1.0,5.5,,0.24247990815154996,0.23926868044515104,-0.34226190476190477,-0.5,0.0,0.0,1.5,
turn,8,static_diverse@25,Static+Diverse 25%,0.25,2,0,0.5079365079365079,0.5,0.5,0.5,32.0,,0.24247990815154996,0.23926868044515104,0.0,0.0,0.0,0.0,0.0,
turn,9,static_diverse@25,Static+Diverse 25%,0.25,2,0,0.5151515151515151,0.5,0.5,0.5,17.0,,0.24247990815154996,0.23926868044515104,0.0,0.0,0.0,0.0,0.0,
turn,10,static_diverse@25,Static+Diverse 25%,0.25,2,0,0.5833333333333334,0.5,0.5,1.0,3.5,,0.24247990815154996,0.23926868044515104,-0.016666666666666607,0.0,-0.5,0.0,0.5,
turn,1,static_diverse@50,Static+Diverse 50%,0.5,2,0,0.5208333333333334,0.5,0.5,0.5,12.5,,0.48643959688735805,0.49324324324324326,0.0008333333333333526,0.0,0.0,0.0,-0.5,
turn,2,static_diverse@50,Static+Diverse 50%,0.5,2,0,1.0,1.0,1.0,1.0,1.0,,0.48643959688735805,0.49324324324324326,0.0,0.0,0.0,0.0,0.0,
turn,3,static_diverse@50,Static+Diverse 50%,0.5,2,1,0.6,0.5,1.0,1.0,3.0,0.4031177386213651,0.48643959688735805,0.49324324324324326,0.0,0.0,0.0,0.0,0.0,0.0
turn,4,static_diverse@50,Static+Diverse 50%,0.5,2,1,0.3214285714285714,0.0,0.5,1.0,4.5,0.3975649198506269,0.48643959688735805,0.49324324324324326,0.0,0.0,0.0,0.0,0.0,-0.003402164822260856
turn,5,static_diverse@50,Static+Diverse 50%,0.5,2,0,0.5138888888888888,0.5,0.5,0.5,18.5,,0.48643959688735805,0.49324324324324326,-0.0012626262626262985,0.0,0.0,0.0,1.5,
turn,6,static_diverse@50,Static+Diverse 50%,0.5,2,0,1.0,1.0,1.0,1.0,1.0,,0.48643959688735805,0.49324324324324326,0.0,0.0,0.0,0.0,0.0,
turn,7,static_diverse@50,Static+Diverse 50%,0.5,2,0,0.5714285714285714,0.5,0.5,1.0,4.0,,0.48643959688735805,0.49324324324324326,0.0,0.0,0.0,0.0,0.0,
turn,8,static_diverse@50,Static+Diverse 50%,0.5,2,0,0.5079365079365079,0.5,0.5,0.5,32.0,,0.48643959688735805,0.49324324324324326,0.0,0.0,0.0,0.0,0.0,
turn,9,static_diverse@50,Static+Diverse 50%,0.5,2,0,0.5147058823529411,0.5,0.5,0.5,17.5,,0.48643959688735805,0.49324324324324326,-0.00044563279857401383,0.0,0.0,0.0,0.5,
turn,10,static_diverse@50,Static+Diverse 50%,0.5,2,0,0.6,0.5,1.0,1.0,3.0,,0.48643959688735805,0.49324324324324326,0.0,0.0,0.0,0.0,0.0,
