dataset,method,ttft_reduction_vs_recomp_pct
gqa_large,FullLoad,-45.672285590419015
gqa_large,Prefix25,44.45689459512162
gqa_large,Prefix45,16.328293391666655
vqav2,FullLoad,-47.39710502868477
vqav2,Prefix25,44.49829161213664
vqav2,Prefix45,15.843323368117957
textvqa,FullLoad,-40.804226753099385
textvqa,Prefix25,46.26832947621279
textvqa,Prefix45,18.770746352935877
