dataset,full_load_score,prefix25_score,prefix25_delta_vs_fullload,prefix45_score,prefix45_delta_vs_fullload,prefix25_ttft_reduction_vs_recomp_pct,prefix45_ttft_reduction_vs_recomp_pct,prefix25_e2e_reduction_vs_recomp_pct,prefix45_e2e_reduction_vs_recomp_pct,prefix25_ssd_reduction_vs_fullload_pct,prefix45_ssd_reduction_vs_fullload_pct,fullload_ttft_delta_vs_recomp_ms,verdict
gqa_large,0.6345991561181434,0.5873417721518988,-0.04725738396624468,0.6286919831223629,-0.005907172995780585,44.45689459512162,16.328293391666655,41.976777004403836,15.257633974333219,73.79069857136699,52.6786018136402,235.1797954655815,SUPPORTED
vqav2,0.8156666666666667,0.7633333333333333,-0.05233333333333334,0.805,-0.010666666666666602,44.49829161213664,15.843323368117957,41.68490443511802,14.630640658144364,73.73457208251038,52.766151630314646,244.84875358326826,PARTIALLY SUPPORTED
textvqa,0.6193333333333334,0.5786666666666666,-0.04066666666666685,0.6219999999999999,0.002666666666666484,46.26832947621279,18.770746352935877,41.05156609929532,16.484592924532645,73.58009854167355,52.60048246170091,219.68945020390674,SUPPORTED
