method,budget_fraction,turn_range,n_dialogs,n_requests,quality_metric,aux_quality_mean,aux_quality_delta_vs_recomp,end_to_end_ttft_ms_mean,end_to_end_ttft_ms_p50,end_to_end_ttft_ms_p95,ttft_delta_vs_recomp_ms,ttft_reduction_vs_recomp_pct,request_e2e_ms_mean,request_e2e_ms_p50,request_e2e_ms_p95,e2e_delta_vs_recomp_ms,e2e_reduction_vs_recomp_pct,ssd_read_bytes_per_request,ssd_read_mb_per_request,ssd_read_bytes_total,ssd_ratio_vs_fullload_pct,ssd_reduction_vs_fullload_pct
ReComp,,2-10,100,900,normalized_generative_match_auxiliary_not_official_visdial,0.4388888888888889,0.0,539.2968500311124,548.2187580200844,595.3023544978346,0.0,0.0,571.7344895498051,572.3966429941356,741.8375781096984,0.0,0.0,0.0,0.0,0,,
FullLoad,,2-10,100,900,normalized_generative_match_auxiliary_not_official_visdial,0.44,0.0011111111111111183,686.2895775638107,682.7982650138438,833.9856850740034,146.99272753269827,-27.256366790241437,723.8767270129433,716.3878204301,904.4622980756685,152.14223746313826,-26.610645368436316,1169434869.76,1169.43486976,1052491382784,100.0,0.0
Prefix25,0.25,2-10,100,900,normalized_generative_match_auxiliary_not_official_visdial,0.4177777777777778,-0.02111111111111108,278.3398137292049,277.8484610025771,334.3172084365506,-260.9570363019075,48.38838504004849,325.26116881855864,307.47504893224686,493.269921594765,-246.47332073124642,43.10975203285783,306834309.12,306.83430912,276150878208,26.237827950433083,73.76217204956691
Prefix45,0.45,2-10,100,900,normalized_generative_match_auxiliary_not_official_visdial,0.44,0.0011111111111111183,417.58529326231735,419.83726649777964,494.78247865336016,-121.71155676879505,22.568564374476395,458.4284064753188,449.9794470029883,617.1883536793756,-113.30608307448625,19.817954862877997,554801561.6,554.8015616,499321405440,47.441852124168356,52.558147875831644
