component,source_field,n_images,mean_ms,p50_ms,p95_ms,accounting_scope
saliency_extra,saliency_extra_ms,100,0.007274880073964596,0.0071680000983178616,0.008191999979317188,inside_turn1_ttft_not_readded
saliency_postprocess,saliency_postprocess_ms,100,0.07893257890827954,0.0784260337240994,0.08657915168441832,post_answer_persistence
permutation,permutation_ms,100,0.642057693330571,0.6496505229733884,0.702019571326673,post_answer_persistence
kv_repack,repack_ms,100,148.02076196065173,141.93225221242756,207.71637544967234,post_answer_persistence
buffered_ssd_write,buffered_write_ms,100,445.0575931335334,434.92240115301684,547.8946600516792,post_answer_persistence
fsync,fsync_ms,100,294.2703940998763,259.93284303694963,443.0886784393806,post_answer_persistence
total_persistence,persist_ms,100,979.7450296161696,961.2456565373577,1239.3769529007839,one_time_total_outside_cache_hit_ttft
