turn_id,history_tokens_mean,ReComp,FullLoad,Prefix25,Prefix45,ReComp_minus_Prefix25_ms,ReComp_minus_Prefix45_ms
2,34.62,525.2262303140014,672.6164964563213,264.54222455853596,406.13686472177505,260.6840057554655,119.08936559222639
3,52.1,524.7872784396168,675.3331637044903,265.2373513625935,408.79378161393106,259.5499270770233,115.99349682568572
4,69.27,531.2703241303097,693.5858727921732,275.09706019889563,412.2263957443647,256.1732639314141,119.04392838594504
5,86.87,533.8868441537488,690.7688630733173,275.3392960457131,411.8169959296938,258.5475481080357,122.06984822405502
6,103.66,539.3801154277753,690.9397158259526,280.2031069411896,418.4164709527977,259.1770084865857,120.96364447497763
7,121.53,544.1037452197634,691.9293875887524,282.5563285429962,421.8704606825486,261.54741667676717,122.23328453721479
8,138.35,548.1381372490432,692.787004535785,286.8710105482023,426.3785038108472,261.2671267008409,121.75963343819603
9,155.41,550.4912801354658,685.7138332002796,288.56514206156135,425.6328432657756,261.92613807390444,124.8584368696902
10,172.6,556.3876952102873,682.9318608972244,286.64680330315605,426.9953226391226,269.7408919071313,129.39237257116474
