aggregation,group,method,budget,n,quality_mean,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,ssd_read_mb_mean,ssd_read_mb_total,selector_ms_mean,scatter_ms_mean,prefill_ms_mean,selected_kv_ratio_mean,logical_visual_token_ratio_mean,ssd_payload_ratio_vs_full_visual_kv_mean,history_tokens_mean,active_visual_tokens_mean,total_context_tokens_mean,full_visual_kv_gb_mean,selected_visual_kv_gb_mean,gpu_memory_allocated_gb_mean,gpu_peak_memory_allocated_gb_mean,process_rss_gb_mean,ssd_read_ratio_vs_fullload,ttft_reduction_vs_fullload_pct,ssd_reduction_vs_fullload_pct,quality_delta_vs_fullload,ttft_reduction_vs_sparsevlm_pct,ssd_reduction_vs_sparsevlm_pct
turn,1,FullLoad,1.0,100,0.57,673.8426533911843,666.1729589686729,800.9017357049742,34.67821454105433,20.349659520434216,64.06601961061823,708.5208679322386,698.9168429863639,871.7394259991124,1169.43486976,116943.486976,0.0,,,1.0,1.0,1.0,18.33,2230.52,2282.44,1.1694348697599999,1.1694348697599999,5.229160591359999,6.52917934592,2.10389778432,1.0,,,,,
turn,1,ReComp,,100,0.57,509.3310707609635,512.3385560000315,560.9618847403908,30.073547180509195,19.426615996053442,57.77865569398272,539.4046179414727,534.003273001872,716.8748961412348,0.0,0.0,0.0,0.0,509.3308364326367,,,,18.33,2230.52,2282.44,1.1694348697599999,0.0,4.056649216,7.0486591488000006,2.09474736128,0.0,,,,,
turn,1,SparseVLM 25%,0.25,100,0.56,713.1497123785084,719.367236510152,827.735817694338,39.9448839109391,34.22899451106787,65.62810954928864,753.0945962894475,745.8860505139455,879.5857668621466,896.12877824,89612.877824,,,,0.24580328595902037,0.24580328595902037,0.7183177384977322,18.33,2230.52,2282.44,1.1694348697599999,0.84131151872,5.228705525760001,6.52921321472,2.10475913216,0.766292165055682,,,,,
turn,1,Static+Diverse 25%,0.25,100,0.55,329.13653798867017,327.1485584846232,402.64611663878895,27.56076151970774,19.692701986059546,57.8688502922887,356.6972995083779,350.0855349993799,422.3383700445993,301.76837632,30176.837632,16.377118580276147,52.11390093900263,47.4702411191538,0.24314150835320167,0.24314150835320167,0.25802399243183705,18.33,2230.52,2282.44,1.1694348697599999,0.30176837632,5.229160591359999,6.52933384704,2.09421819904,0.2580463300037659,51.15528286429245,74.19536699962342,-0.019999999999999907,53.847483596266386,66.32533362976311
turn,1,Static+Diverse 50%,0.5,100,0.56,552.5307272607461,555.2412855031434,608.0962910025846,31.053903859574348,19.58232748438604,56.41978853964247,583.5846311203204,579.009674518602,679.6061560075032,594.71364096,59471.364096,22.83419982646592,90.02277639345266,49.47466210811399,0.4902578573128629,0.4902578573128629,0.5090890807292063,18.33,2230.52,2282.44,1.1694348697599999,0.59471364096,5.228705525760001,6.5286258534399995,2.09914404864,0.5085478946613345,18.003004932965162,49.145210533866546,-0.009999999999999898,22.522477725197888,33.63524803566518
turn,2,FullLoad,1.0,100,0.41,663.5758918779902,666.1819134897087,769.3418503156863,36.701822626637295,20.32970348955132,133.8847717444878,700.2777145046275,692.6010884926654,817.1150790061802,1169.43486976,116943.486976,0.0,,,1.0,1.0,1.0,34.62,2230.52,2298.8,1.1694348697599999,1.1694348697599999,5.229160591359999,6.541046635520001,2.09530212352,1.0,,,,,
turn,2,ReComp,,100,0.41,513.6904169479385,519.9486860074103,559.5924531342462,33.503820684272796,19.53315199352801,126.15069113671778,547.1942376322113,556.5592659986578,630.5512695485958,0.0,0.0,0.0,0.0,513.6901977309026,,,,34.62,2230.52,2298.8,1.1694348697599999,0.0,5.228705525760001,8.25413882368,2.096956416,0.0,,,,,
turn,2,SparseVLM 25%,0.25,100,0.44,714.2443784192437,726.6465169959702,832.4628987495089,42.61170968180522,31.279970484320074,94.07884518441263,756.856088101049,758.6756459786557,867.621385163511,903.14276864,90314.276864,,,,0.24580328595902037,0.24580328595902037,0.7243448406930415,34.62,2230.52,2298.8,1.1694348697599999,0.84832550912,5.228705525760001,6.54119343104,2.10279165952,0.7722899256675573,,,,,
turn,2,Static+Diverse 25%,0.25,100,0.44,331.92632365156896,332.80182848102413,379.0721501602093,33.13214206835255,19.638284982647747,131.43305545963813,365.0584657199215,356.68336346861906,469.58230629388703,301.76837632,30176.837632,16.59689117281232,52.66608466045,48.19231020170264,0.24314150835320167,0.24314150835320167,0.25802399243183705,34.62,2230.52,2298.8,1.1694348697599999,0.30176837632,5.229160591359999,6.5412413952,2.09479184384,0.2580463300037659,49.97914666366461,74.19536699962342,0.030000000000000027,53.52762532255642,66.58685793671152
turn,2,Static+Diverse 50%,0.5,100,0.42,551.1306841671467,559.3030574964359,612.5219458393985,32.64905730553437,19.60987353231758,114.48264993960034,583.779741472681,580.0230279855896,676.5946222963976,594.71364096,59471.364096,22.69574375357479,89.80160597711802,50.15983669727575,0.4902578573128629,0.4902578573128629,0.5090890807292063,34.62,2230.52,2298.8,1.1694348697599999,0.59471364096,5.228705525760001,6.54064864768,2.09890701312,0.5085478946613345,16.94534251276243,49.145210533866546,0.010000000000000009,22.8372387911681,34.15065019503493
