aggregation,group,method,budget,n,quality_mean,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,ssd_read_mb_mean,ssd_read_mb_total,selector_ms_mean,scatter_ms_mean,prefill_ms_mean,selected_kv_ratio_mean,history_tokens_mean,active_visual_tokens_mean,full_visual_kv_gb_mean,dialog_id
dialog,visdial:511888,FullLoad,1.0,10,0.6,618.3882260054816,617.4748885096051,694.1530209500343,35.243094590259716,19.897525489795953,100.418847289984,653.6313205957413,639.5279694988858,777.5594255450413,1226.83392,12268.3392,0.0,0.0,613.2764268084429,1.0,90.2,2340.0,1.22683392,visdial:511888
dialog,visdial:511888,ReComp,,10,0.6,584.212232689606,559.7102094907314,724.9445730209114,32.62838369701058,19.29998997366056,92.28743478597595,616.8406163866166,581.3732690003235,791.619004687527,0.0,0.0,0.0,0.0,584.2119423963595,,90.2,2340.0,1.22683392,visdial:511888
dialog,visdial:511888,SparseVLM 25%,0.25,10,0.5,698.7069930066355,722.1362630079966,758.0662120541092,42.48680649907328,31.147049012361094,100.3460374689893,741.1937995057087,755.8997065061703,837.7252343256259,889.2383232000001,8892.383232,621.402950771153,0.0,691.7106902052183,0.24615384615384617,90.2,2340.0,1.22683392,visdial:511888
dialog,visdial:511888,Static+Diverse 25%,0.25,10,0.5,344.1864898020867,347.442107507959,377.6910067215794,32.6069779926911,19.280525477370247,93.01697176997536,376.7934677947778,369.5158504706342,445.25246989505825,318.111744,3181.11744,16.14612228004262,54.69027551589534,54.39627930754796,0.24615384615384617,90.2,2340.0,1.22683392,visdial:511888
dialog,visdial:511888,Static+Diverse 50%,0.5,10,0.5,550.7718573091552,559.951232484309,578.9515717799077,32.367810793221,19.462319993181154,91.3265680923358,583.1396681023762,581.8282215041108,653.9956074499058,615.514112,6155.14112,22.37434185226448,93.56832022313029,56.11984109855257,0.4803418803418803,90.2,2340.0,1.22683392,visdial:511888
dialog,visdial:96511,FullLoad,1.0,10,0.5,643.5978794936091,645.9453134739306,717.0709380181506,23.85122441337444,19.95975451427512,38.41057124373036,667.4491039069835,665.8724609878846,745.7457549899118,1124.073472,11240.73472,0.0,0.0,638.6716040957253,1.0,88.1,2144.0,1.124073472,visdial:96511
dialog,visdial:96511,ReComp,,10,0.5,515.2932824043091,517.2741750138812,534.8244854278164,19.130280090030283,19.020881998585537,19.823256848030724,534.4235624943394,536.1027305189054,554.3499361519935,0.0,0.0,0.0,0.0,515.292974410113,,88.1,2144.0,1.124073472,visdial:96511
dialog,visdial:96511,SparseVLM 25%,0.25,10,0.5,670.070476795081,683.4224129852373,700.0135454378324,31.97277650469914,28.016992495395243,45.713196639553644,702.0432532997802,713.4314274881035,743.6497312883148,831.4159104,8314.159104,589.1962120658718,0.0,663.532457902329,0.2462686567164179,88.1,2144.0,1.124073472,visdial:96511
dialog,visdial:96511,Static+Diverse 25%,0.25,10,0.5,303.31978230387904,300.96828649402596,322.9549019772094,19.421036506537348,19.366959983017296,19.804113285499625,322.7408188104164,320.21604100009426,342.2895244206302,284.164096,2841.64096,15.335941320518032,51.448060461552814,54.12927560391836,0.2388059701492537,88.1,2144.0,1.124073472,visdial:96511
dialog,visdial:96511,Static+Diverse 50%,0.5,10,0.5,507.75574381113984,514.801607496338,533.2629838492721,19.399933301610872,19.35142299043946,19.995281315641478,527.1556771127507,534.4134364859201,552.6224351720884,580.386816,5803.86816,21.465838752919808,87.47902706963941,54.72974539734423,0.4925373134328358,88.1,2144.0,1.124073472,visdial:96511
