method_key,method,retention,retention_kind,n_requests,n_images,accuracy,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_std_ms,decode_mean_ms,decode_p50_ms,decode_p95_ms,e2e_latency_mean_ms,e2e_latency_p50_ms,e2e_latency_p95_ms,generated_tokens_mean,ssd_read_bytes_mean,ssd_read_bytes_total,ssd_read_mb_mean,ssd_read_chunks_mean,prepare_mean_ms,selector_mean_ms,ssd_read_mean_ms,scatter_mean_ms,prefill_mean_ms,normal_chunk_count_total_mean,normal_kv_read_bytes_mean,separator_read_bytes_mean,normal_kv_preads_mean,separator_preads_mean,mean_bytes_per_pread_mean,normal_mean_bytes_per_pread_mean,separator_mean_bytes_per_pread_mean,static_score_calls_mean,query_score_calls_mean,diversity_calls_mean,ttft_reduction_vs_fullload_pct,ttft_reduction_vs_recompute_pct
recompute,ReComp,,none,240,40,0.625,504.10808549204376,508.8957665138878,590.2563693176485,71.51605384535287,26.11158399862082,19.3889900110662,55.761609110049896,530.2196694906646,535.4914019699208,625.0636282318735,2.370833333333333,0.0,0,0.0,0.0,,,0.0,,504.1078955323125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,30.36878550478736,0.0
fullload,FullLoad,1.0,full,240,40,0.6125,723.96853788426,724.3801850127056,885.1713332056534,91.51964736045305,32.26183121829914,24.18010152177885,58.46269372850656,756.230369102559,752.0326335215941,909.940534614725,2.375,1165072793.6,279617470464,1165.0727936,2248.0,,,448.2548506076758,,719.1136307495375,,1165072793.6,0.0,64.0,0.0,18204262.4,18204262.4,0.0,,,,0.0,-43.61375243121072
visionzip_repack_prefix@25,ImageOnly-Repack+Prefix,0.25,chunk,240,40,0.5791666666666667,262.6228356991002,264.23239801079035,309.97254996327683,29.13490551667739,27.198995597912774,19.631834991741925,57.04500389983877,289.821831297013,287.64624253381044,346.6684348182752,2.379166666666667,306079334.4,73459040256,306.0793344,545.6,217.11549106645785,0.21819171670358628,130.92247983586276,52.37574358858789,45.44852424345057,272.8,286051532.8,20027801.6,64.0,1.0,4708912.836923077,4469555.2,20027801.6,0.0,0.0,0.0,63.72455128138655,47.903466883939686
visionzip_repack_prefix@50,ImageOnly-Repack+Prefix,0.5,chunk,240,40,0.6,440.42640991538065,443.5577060212381,522.7264952030964,50.45089050886335,26.63122827895374,19.612235017120838,56.73815306508913,467.0576381943344,469.3858214886859,548.0362371250521,2.370833333333333,603874918.4,144929980416,603.8749184000001,1113.6,393.03779993448796,0.3335082845296711,234.33370384348868,89.92320885639249,47.324201359879225,556.8,583847116.8,20027801.6,64.0,1.0,9290383.359999998,9122611.2,20027801.6,0.0,0.0,0.0,39.16497929557939,12.632543974077603
visionzip_repack_prefix@20,ImageOnly-Repack+Prefix,0.2,chunk,240,40,0.5458333333333333,235.44546197226737,234.92057604016736,282.3150705662556,23.657043786081122,28.470008611717883,19.708083069417626,57.829058502102264,263.91547058398527,259.78036696324125,312.6823261554818,2.4541666666666666,252392243.2,60574138368,252.3922432,443.2,188.9646696052902,0.18572200109095624,114.05655801305936,45.90352761297254,46.42228353283523,221.6,232364441.6,20027801.6,64.0,1.0,3882957.587692308,3630694.4,20027801.6,0.0,0.0,0.0,67.47849531412817,53.29464677352743
visionzip_repack_prefix@30,ImageOnly-Repack+Prefix,0.3,chunk,240,40,0.5875,299.2817612326083,300.5310804583132,353.6377163312863,33.106623333096984,27.026945090619847,19.598847546149045,57.35150049440563,326.30870632322814,328.0491009936668,389.2785866919438,2.379166666666667,371510476.8,89162514432,371.51047679999994,670.4,253.21547663140032,0.25779128530606005,151.76692052094344,60.627761550131254,46.00563992134994,335.2,351482675.2,20027801.6,64.0,1.0,5715545.796923077,5491916.8,20027801.6,0.0,0.0,0.0,58.66094373282639,40.63143007506238
visionzip_repack_prefix@35,ImageOnly-Repack+Prefix,0.35,chunk,240,40,0.5916666666666667,337.5077016297534,339.93277949048206,399.0884637401905,37.74596209712757,26.859096688470647,19.655476964544505,56.50583805399946,364.366798318224,364.6322460263036,426.4367630763445,2.379166666666667,435263897.6,104463335424,435.26389760000006,792.0,289.9326370786487,0.286913294015297,173.48267855316712,68.76325447422762,47.51276195747778,396.0,415236096.0,20027801.6,64.0,1.0,6696367.655384616,6488064.0,20027801.6,0.0,0.0,0.0,53.38088826123679,33.04854428186311
visionzip_repack_prefix@40,ImageOnly-Repack+Prefix,0.4,chunk,240,40,0.5916666666666667,375.62377504703664,379.7292919480242,437.4343971256166,42.671510231194674,26.769120025467902,19.641184015199542,57.17592450091615,402.3928950725046,405.09359748102725,469.0451198024674,2.375,498178457.6,119562829824,498.17845760000006,912.0,327.8471179000917,0.3083913140775015,195.31380762491608,76.94587100268109,47.71367003171084,456.0,478150656.0,20027801.6,64.0,1.0,7664283.963076923,7471104.0,20027801.6,0.0,0.0,0.0,48.11600844633841,25.487452818694173
visionzip_repack_prefix@45,ImageOnly-Repack+Prefix,0.45,chunk,240,40,0.6041666666666666,406.2800569178459,411.30342008545995,474.47762372903526,51.32021902487415,27.1223083914568,19.64801049325615,57.0408983330708,433.4023653093027,437.29610048467293,510.93266335083166,2.370833333333333,551026688.0,132246405120,551.0266879999999,1012.8,359.0129591219011,0.3203822033052954,214.3163014673822,83.03753229799138,47.20299083031326,506.4,530998886.4,20027801.6,64.0,1.0,8477333.661538461,8296857.6,20027801.6,0.0,0.0,0.0,43.88153135698868,19.4061613748391
