method_key,method,retention,retention_kind,n_requests,n_images,accuracy,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_std_ms,decode_mean_ms,decode_p50_ms,decode_p95_ms,e2e_latency_mean_ms,e2e_latency_p50_ms,e2e_latency_p95_ms,generated_tokens_mean,ssd_read_bytes_mean,ssd_read_bytes_total,ssd_read_mb_mean,ssd_read_chunks_mean,prepare_mean_ms,selector_mean_ms,ssd_read_mean_ms,scatter_mean_ms,prefill_mean_ms,ttft_reduction_vs_fullload_pct,ttft_reduction_vs_recompute_pct
recompute,ReComp,,none,240,40,0.625,503.41475736689364,507.8097299847286,588.071751396637,75.11833282845654,26.144835154021468,19.471913517918438,55.94561607576907,529.5595925209151,533.9167339843698,615.0958575017281,2.370833333333333,0.0,0,0.0,0.0,,,0.0,,503.414481846509,24.533749062709536,0.0
fullload,FullLoad,1.0,full,240,40,0.6208333333333333,667.0726995371903,653.9346874924377,800.3921798459486,117.25279537758732,31.962422099604737,23.98062398424372,58.56395305308974,699.035121636795,686.3772534998134,832.4121885292698,2.379166666666667,1165072793.6,279617470464,1165.0727936,2248.0,,,397.5354988736702,,660.5692536480395,0.0,-32.50956388849385
sparsevlm,SparseVLM,0.25,token,240,40,0.6,750.2597875628757,741.8880835175514,878.4802180627591,228.75742459007967,37.992844749290576,34.93493402493186,67.17529921734238,788.2526323121662,781.2483299931046,905.8356365421781,2.379166666666667,928098440.5333333,222743625728,928.0984405333334,2793.983333333333,,,387.19678076085984,,743.6290698715311,-12.470468073929549,-49.03412674811175
static_diverse_chunk@10,Static+Diverse,0.1,chunk,240,40,0.37916666666666665,243.31553641071272,208.07983301347122,273.65996358275873,358.9236549267719,56.57404620457479,23.846004012739286,280.27068092778785,299.8895826152875,248.53707902366295,477.0144784008153,3.9291666666666667,133615616.0,32067747840,133.61561600000002,224.0,198.39476828516732,21.206801294708082,107.34746041610681,40.438635048243064,44.86675297666807,63.52488468205594,51.6669837643671
static_diverse_chunk@15,Static+Diverse,0.15,chunk,240,40,0.525,283.3663375293933,253.31767450552434,330.50514960777934,344.4795680444175,35.99381509775412,19.68334350385703,75.65418430895076,319.36015262714744,283.82976751890965,393.75524568604294,2.845833333333333,195500441.6,46920105984,195.50044160000002,344.0,240.58538754155356,21.01608203544553,140.4667481452634,44.01940624253863,42.728780881346516,57.52092122402992,43.71115797011229
static_diverse_chunk@20,Static+Diverse,0.2,chunk,240,40,0.5875,307.8144662543006,290.27643700828776,366.47099265828723,171.29502871265905,27.346678359026555,19.778422982199118,57.17524830834009,335.16114461332717,315.74802051181905,391.372062228038,2.3916666666666666,246963404.8,59271217152,246.96340479999998,443.2,264.23550437102676,17.530898736731615,163.4832153567307,47.13475679551872,43.525729421526194,53.85593407317376,38.85469947994346
