method_key,method,retention,retention_kind,n_requests,n_images,accuracy,delta_accuracy_vs_fullload_pp,delta_accuracy_vs_prefix25_pp,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,decode_mean_ms,e2e_mean_ms,ssd_read_bytes_mean,ssd_read_mb_mean,ssd_read_chunks_mean,ssd_preads_mean,ssd_read_mean_ms,prepare_mean_ms,scatter_mean_ms,prefill_mean_ms,normal_chunk_count_total_mean,normal_kv_read_bytes_mean,separator_read_bytes_mean,total_actual_pread_bytes_mean,normal_kv_preads_mean,separator_preads_mean,static_score_calls_mean,query_score_calls_mean,diversity_calls_mean,ssd_ratio_vs_fullload,selected_chunks_per_layer_mean,touched_chunk_fraction_mean,selector_mean_ms,selector_p50_ms,selector_p95_ms
recompute,ReComp,,none,240,40,0.625,0.4166666666666652,,503.8130109557339,506.86943950131536,598.1608524161854,26.532935148861725,530.3459461045956,0.0,0.0,0.0,0.0,0.0,,,503.812777317944,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,
fullload,FullLoad,1.0,full,240,40,0.6208333333333333,0.0,,656.1455786853912,659.004494023975,778.9645812299568,31.064039762713946,687.2096184481052,1165072793.6,1165.0727935999998,2248.0,64.0,397.72208277572645,,,651.1396870409953,,1165072793.6,0.0,1165072793.6,64.0,0.0,,,,1.0,,1.0,,,
sparsevlm,SparseVLM 25%,0.25,token,240,40,0.6,-2.083333333333337,,737.8990418175817,746.6013245284557,882.7975124469957,37.71860426641069,775.6176460839924,928098440.5333333,928.0984405333332,2793.983333333333,141.825,391.3897837730474,,,731.1933020755532,,873485653.3333334,0.0,928098440.5333333,109.825,0.0,,,,0.7966012472624726,,0.7426578446374942,,,
reorder_prefix_chunk@25,Reorder + Prefix 25%,0.25,chunk,240,40,0.6041666666666666,-1.6666666666666718,,262.1552122271775,261.89540297491476,318.9694976783357,26.89561923519553,289.050831462373,306079334.4,306.0793344,545.6,65.0,132.67476693145,216.46893011735906,51.31743940825496,45.62809417548124,272.8,286051532.8,20027801.6,306079334.4,64.0,1.0,0.0,0.0,0.0,0.26271262712627125,8.525,0.2428141888895561,0.19381173866956183,0.19633781630545855,0.24263023515231896
visionzip_static_chunk@25,Reorder + Static 25%,0.25,chunk,240,40,0.4666666666666667,-15.416666666666668,,296.07578517704195,295.69310299120843,348.99037140421564,41.977114647064205,338.05289982410613,306066227.2,306.0662272,545.6,169.95,158.68092092763013,250.0698804690425,52.553337036806624,45.9478022128072,272.8,286038425.6,20027801.6,306066227.2,168.95,1.0,32.0,0.0,0.0,0.26270137701377017,8.525,0.2428141888895561,3.867849675104177,3.991336387116462,4.563163826242089
diverse_chunk@25,Reorder + Diverse Only 25%,0.25,chunk,240,40,0.5833333333333334,-3.749999999999998,,406.7126958339941,389.5359945599921,548.5704391903708,27.022379918101553,433.7350757520956,296561049.6,296.56104960000005,545.6,441.7,255.57239573293677,363.1845195549734,51.19881376400978,43.47381003317423,272.8,276533248.0,20027801.6,296561049.6,440.7,1.0,0.0,0.0,32.0,0.25454293605436057,8.525,0.2428141888895561,18.98011579372299,19.03729751938954,25.25185642298311
static_diverse_chunk@25,Reorder + Static+Diverse 25%,0.25,chunk,240,40,0.6083333333333333,-1.2500000000000067,0.4166666666666652,337.5875165613252,331.12267148680985,412.1290222858079,26.770066568860784,364.35758313018596,300401459.2,300.4014592,545.6,277.55,190.35855806869222,293.4574470971711,52.055668943891455,44.0756602838519,272.8,280373657.6,20027801.6,300401459.2,276.55,1.0,32.0,0.0,32.0,0.2578392190171902,8.525,0.2428141888895561,14.865979013848118,15.198829118162394,17.898614139994606
reorder_prefix_chunk@50,Reorder + Prefix 50%,0.5,chunk,240,40,0.625,0.4166666666666652,,426.25795069567783,426.6881580115296,505.9183793258853,26.701799539538722,452.9597502352165,603874918.4,603.8749184,1113.6,65.0,228.29749431790938,380.87120259248576,87.57832915871404,45.32330166354465,556.8,583847116.8,20027801.6,603874918.4,64.0,1.0,0.0,0.0,0.0,0.5183151831518316,17.4,0.49597425526053956,0.3337151841454518,0.3432249650359154,0.37585351383313537
visionzip_static_chunk@50,Reorder + Static 50%,0.5,chunk,240,40,0.5541666666666667,-6.666666666666665,,467.9345673100518,469.4222524994984,552.3484239296522,38.94448220041037,506.8790495104622,603825766.4,603.8257664,1113.6,190.05,257.6061623316491,422.8427360130202,89.09710386409036,45.02923683515595,556.8,583797964.8,20027801.6,603825766.4,189.05,1.0,32.0,0.0,0.0,0.5182729952299523,17.4,0.49597425526053956,4.914708160989297,5.051248823292553,5.383584869559854
diverse_chunk@50,Reorder + Diverse Only 50%,0.5,chunk,240,40,0.6208333333333333,0.0,,646.1855006282955,644.3041265010834,810.8257619140203,26.646477669904318,672.8319782981998,591489433.6,591.4894336,1113.6,604.85,386.4819656198961,601.6934635850097,90.58867562853266,44.42956284474349,556.8,571461632.0,20027801.6,591489433.6,603.85,1.0,0.0,0.0,32.0,0.5076845299702998,17.4,0.49597425526053956,36.00397713162238,37.52906451700255,43.70469358982518
static_diverse_chunk@50,Reorder + Static+Diverse 50%,0.5,chunk,240,40,0.625,0.4166666666666652,,560.9194364811023,560.9047085163184,664.2366003710777,26.976892180391587,587.8963286614938,594209177.6,594.2091776,1113.6,382.45,326.01351837220136,514.7226217047622,89.446424691414,46.132993920279354,556.8,574181376.0,20027801.6,594209177.6,381.45,1.0,32.0,0.0,32.0,0.5100189283142832,17.4,0.49597425526053956,21.865449770605967,22.4411454400979,24.979413766413924
