metric,level,dialog_id,method,budget,scenario,break_even_turn,censored_at_turn_10,stays_better_through_turn_10,better_at_turn_2,two_turn_ours_ms,two_turn_recomp_ms,two_turn_delta_ms,ten_turn_ours_ms,ten_turn_recomp_ms,ten_turn_delta_ms
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:88394,Prefix25,0.25,worst,6,False,True,False,1807.050365023315,1039.765272056684,767.285092966631,4317.019168986008,5312.39235913381,-995.3731901478022
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:88394,Prefix45,0.45,hidden,2,False,True,True,957.3549770284444,1039.765272056684,-82.41029502823949,4437.49156605918,5312.39235913381,-874.9007930746302
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:88394,Prefix45,0.45,worst,,True,,False,1969.7881470201537,1039.765272056684,930.0228749634698,5449.924736050889,5312.39235913381,137.5323769170791
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:90932,Prefix25,0.25,hidden,2,False,True,True,1211.736925994046,1283.2030180143192,-71.46609202027321,3569.8409386677667,5596.031679888256,-2026.1907412204891
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:90932,Prefix25,0.25,worst,6,False,True,False,2154.3425890849903,1283.2030180143192,871.1395710706711,4512.446601758711,5596.031679888256,-1083.5850781295449
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:90932,Prefix45,0.45,hidden,2,False,True,True,1149.0983619587496,1283.2030180143192,-134.10465605556965,4567.399396910332,5596.031679888256,-1028.6322829779238
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:90932,Prefix45,0.45,worst,10,False,True,False,2091.704025049694,1283.2030180143192,808.5010070353746,5510.005060001276,5596.031679888256,-86.02661988697946
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:91001,Prefix25,0.25,hidden,2,False,True,True,874.6905360603705,1121.3720380328596,-246.68150197248906,3264.769471832551,5866.363973822445,-2601.5945019898936
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:91001,Prefix25,0.25,worst,5,False,True,False,1768.5577012598515,1121.3720380328596,647.1856632269919,4158.636637032032,5866.363973822445,-1707.7273367904127
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:91001,Prefix45,0.45,hidden,2,False,True,True,1045.1339130522683,1121.3720380328596,-76.23812498059124,4773.201987030916,5866.363973822445,-1093.1619867915288
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:91001,Prefix45,0.45,worst,9,False,True,False,1939.0010782517493,1121.3720380328596,817.6290402188897,5667.069152230397,5866.363973822445,-199.2948215920478
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:96511,Prefix25,0.25,hidden,2,False,True,True,815.2540998999029,1059.7614420112222,-244.5073421113193,3036.8932388955727,5407.070790068246,-2370.1775511726737
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:96511,Prefix25,0.25,worst,5,False,True,False,1713.9076238963753,1059.7614420112222,654.146181885153,3935.546762892045,5407.070790068246,-1471.5240271762013
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:96511,Prefix45,0.45,hidden,2,False,True,True,944.2269189748913,1059.7614420112222,-115.53452303633094,4190.308079123497,5407.070790068246,-1216.7627109447494
sum_of_per_request_e2e_ms_with_persistence_scenario,dialog,visdial:96511,Prefix45,0.45,worst,9,False,True,False,1842.8804429713637,1059.7614420112222,783.1190009601414,5088.961603119969,5407.070790068246,-318.10918694827706
sum_of_per_request_e2e_ms_with_persistence_scenario,aggregate_mean_curve,,Prefix25,0.25,worst,5,False,True,False,1831.5798973513301,1107.5239493499976,724.0559480013326,4456.204811370699,5694.655815722654,-1238.451004351955
sum_of_per_request_e2e_ms_with_persistence_scenario,aggregate_mean_curve,,Prefix25,0.25,hidden,2,False,True,True,851.8348677351605,1107.5239493499976,-255.68908161483705,3476.459781754529,5694.655815722654,-2218.1960339681245
sum_of_per_request_e2e_ms_with_persistence_scenario,aggregate_mean_curve,,Prefix45,0.45,worst,10,False,True,False,1970.2842715848237,1107.5239493499976,862.7603222348262,5655.394072695635,5694.655815722654,-39.26174302701838
sum_of_per_request_e2e_ms_with_persistence_scenario,aggregate_mean_curve,,Prefix45,0.45,hidden,2,False,True,True,990.5392419686541,1107.5239493499976,-116.98470738134347,4675.649043079466,5694.655815722654,-1019.006772643188
