schema_version,dataset,dialog_id,image_id,persist_id,source_turn_id,source_method,source_method_key,source_execution_id,capture_from_turn1,capture_from_same_answer1_forward,vision_forward_count,separate_vision_forward_count,separate_prefix_forward_count,saliency_capture_mode,saliency_extra_ms,saliency_postprocess_ms,saliency_d2h_ms,token_mapping_ms,permutation_ms,kv_materialize_ms,kv_repack_ms,repack_ms,buffered_write_ms,ssd_write_ms,layout_write_ms,fsync_ms,atomic_rename_ms,context_open_ms,helper_persist_ms,persist_unattributed_ms,persist_ms,visual_kv_bytes,separator_sidecar_bytes,probe_sidecar_bytes,sys_kv_bytes,layout_metadata_bytes,meta_bytes,total_ssd_write_bytes,permutation_sha256,prefix_kv_sample_sha256,meta_sha256,layout_sha256,persist_started_at_s,helper_started_at_s,write_finished_at_s,fsync_finished_at_s,store_ready_at_s,actual_context_ready_at_s,durable_fsync_completed,atomic_no_clobber,full_integrity_hash_enabled,integrity_hash_ms_excluded_from_persist,layout_uses_dataset_question,future_turns_used_for_layout,calibration_questions,persistence_started_immediately_after_source_response,source_gpu_cache_released_before_next_arm
visdial-turn1-piggyback-e2e-ttft-v1,visdial_v1.0_val,visdial:161902,visdial:161902,7e143ac0-3a33-4016-9a08-9eb35ac4f9c6,1,ImageOnly-Repack Prefix25,prefix25,bddf60f7-1bdf-41f5-b6c1-aa5f50e72974,True,True,1,0,0,penultimate_cls_to_patch_attention_same_vision_forward,0.007327999919652939,0.07843703497201204,0.01047900877892971,0.06795802619308233,0.6128239911049604,133.38190375361592,39.66446127742529,173.0463650310412,534.0869078645483,534.0869078645483,0.28574292082339525,250.60469505842775,0.08244195487350225,5.99536404479295,1068.6728250002488,110.17163307406008,1074.6786680538207,1132462080,25165824,0,2622802,28696,39607,1160319009,d19611af29facdc7d0e0cd441811b8a20efd2266c71657d8902819b04601192a,dff4c670ed1cd4d7b64a68ce012fb02258e224c4bc728fb7265f7fd024a91805,03f33918ceb63f97545b512a682aea34f24ffda6f9fae9740c3c1acc14721e6e,2a4150ecf7ad5f54d5110a620ae12a7fd2c01848ee2c6f80da2389c21bd35138,902374.574150575,902374.574161054,902375.2819751089,902375.642833879,902375.648829243,902375.652931892,True,True,False,1.0019999463111162,False,0,0,True,True
visdial-turn1-piggyback-e2e-ttft-v1,visdial_v1.0_val,visdial:174813,visdial:174813,db2b9257-8daf-4354-962d-13a76fd7a185,1,ImageOnly-Repack Prefix45,prefix45,41ddcd86-9bfd-4010-b699-7f7161c66bb2,True,True,1,0,0,penultimate_cls_to_patch_attention_same_vision_forward,0.008191999979317188,0.07788313087075949,0.009912066161632538,0.06797106470912695,0.5073650972917676,74.74556926172227,26.13310527522117,100.87867453694344,305.62596826348454,305.62596826348454,0.28656201902776957,205.0989419221878,0.08904794231057167,4.408563952893019,665.6843329546973,53.416364127770066,670.102808973752,867172352,11534336,0,2622802,22424,30596,881382510,be05575b97e09b319785daf62869693ee10e0ffe823bf898f6106f58262066ad,59e1eff54e19c9fdda063750727002d00f1d8307e5e7d561f4c99c2ddd2dbea8,3eb4a24aa549ff17a564bce77765fcb1a73b99692839aef42e13fd6b307c53b8,445e132965296e08dcd720068f41dd9ce011e6626a41ac45925e32f75a53460b,902394.933221755,902394.933231667,902395.340311646,902395.598916,902395.6033245639,902395.608152712,True,True,False,2.869874006137252,False,0,0,True,True
visdial-turn1-piggyback-e2e-ttft-v1,visdial_v1.0_val,visdial:302759,visdial:302759,7cd3dbcc-756c-4178-94d2-67972b23917c,1,ImageOnly-Repack Prefix45,prefix45,51388ee8-062c-46de-b571-38f3bab5f10c,True,True,1,0,0,penultimate_cls_to_patch_attention_same_vision_forward,0.0071680000983178616,0.0798199325799942,0.010860967449843884,0.06895896513015032,0.6776060909032822,99.24214938655496,41.26510675996542,140.50725614652038,433.5994116263464,433.5994116263464,0.29216392431408167,259.30781301576644,0.085315085016191,6.218657945282757,896.2300369748846,61.98367604520172,902.4595558876172,1226833920,18874368,0,2622802,30744,42486,1248404320,92a25b82068cb7f3665e4a8c2a30b9ff4b97e9e8397fac966fc941db7682859e,c4ddfce30a67551d55775fbdf3bd042f886a065ab8eda9e24c71ceddb8898b66,e36f6ebef1eee369ee85f23b1d04e8c222ae0523828d2cc536745cefd8757dd6,17f737ccf8bb1da33b1052bce3134e189059508d282a6dcbebc1f7646c6f6ee4,902414.44466755,902414.444678411,902415.0195316438,902415.340908448,902415.3471271059,902415.351222057,True,True,False,0.9973020059987903,False,0,0,True,True
visdial-turn1-piggyback-e2e-ttft-v1,visdial_v1.0_val,visdial:528791,visdial:528791,a85c29a4-b799-42ef-9a10-1f77d0835037,1,ImageOnly-Repack Prefix45,prefix45,5233b098-50fb-4162-a80e-d2cef9371487,True,True,1,0,0,penultimate_cls_to_patch_attention_same_vision_forward,0.0071680000983178616,0.08707295637577772,0.009924988262355328,0.0771479681134224,0.7020080229267478,161.6929421434179,47.78653895482421,209.4794810982421,428.20441676303744,428.20441676303744,0.34779205452650785,270.2746670693159,0.0783849973231554,6.385214044712484,1115.0935880141333,206.2774820951745,1121.4887270471081,1226833920,18874368,0,2622802,30744,42483,1248404317,060fc53f6ec24817db152205806ba46cc4fb54063a08d6acf76ce432ad608cd0,f1ec659300c7b33d8ea473993f7026f1d20444d2cf62b158e6f02bc6c8e0e517,35bdbf160e972739c07e3ea42b9d056f1c7c6da394c20e5ecf484a361236e2b2,b8b4190d1a69c2558143ec5e47743b6179e0e44c73d2e0eb967006d76df31654,902438.115951895,902438.11596182,902438.7544248739,902439.231055408,902439.2374406221,902439.241532245,True,True,False,1.007051090709865,False,0,0,True,True
visdial-turn1-piggyback-e2e-ttft-v1,visdial_v1.0_val,visdial:558901,visdial:558901,6017b206-0a56-4ceb-80b5-8f5c954408da,1,ImageOnly-Repack Prefix25,prefix25,d43acad0-410c-4e69-8498-df762a3def43,True,True,1,0,0,penultimate_cls_to_patch_attention_same_vision_forward,0.0071680000983178616,0.0777530949562788,0.010911026038229465,0.06684206891804934,0.6423859158530831,105.09119718335569,34.894827753305435,139.98602493666112,438.2298634154722,438.2298634154722,0.32082200050354004,265.8779249759391,0.08512893691658974,6.248025922104716,909.7000550245866,64.81188477482647,915.9589919727296,1226833920,18874368,0,2622802,30744,42487,1248404321,dbe57c6d3dd5e57fcccf734651d6e6750c4cd35614584bbd966c13ebf6870e2c,e32e2050595d734dfc1dd8de9c47004591d9f0ea71777f88a604b45b05f7ce7b,54697fa0894a0558bbb73d23fe59bc77222084bc12e66d1338c00169029117a5,07acea6d582514e4cb80b2d3f9434adc8a0ce188697438d327cce8b882eea746,902463.755844033,902463.755854944,902464.3347800603,902464.665554999,902464.671803025,902464.675874773,True,True,False,0.97419205121696,False,0,0,True,True
visdial-turn1-piggyback-e2e-ttft-v1,visdial_v1.0_val,visdial:487201,visdial:487201,7dce8713-4cb1-4a28-bfa6-fa88f94e9478,1,ImageOnly-Repack Prefix45,prefix45,aa6d964d-8bb4-48da-97a6-7fdd77657605,True,True,1,0,0,penultimate_cls_to_patch_attention_same_vision_forward,0.0071680000983178616,0.07945194374769926,0.010577961802482605,0.06887398194521666,0.6438380805775523,122.92186031118035,37.09443018306047,160.01629049424082,512.6261950936168,512.6261950936168,0.31151401344686747,260.31930500175804,0.08589902427047491,6.329098017886281,1021.5379840228707,87.77758234646171,1027.8776600025594,1226833920,18874368,0,2622802,30744,42485,1248404319,3ab4fe7111cee1d7a48662b0aa0873a5048f01575ddcbe6d6624408fb7924410,39543df6660abdb1c6333e1c696fdbf9959a22adc3d39032d07a4cdffeaaad3c,9a5e8d7af5d4550bfd6f33f089c1c56f9960637e01c27f21ce95d253dc55ab14,d8628b828a17eee5ee2f409d73ad3782313b1d25bdbe89d72df6c993b98568b0,902486.409004481,902486.409015059,902487.0823702567,902487.430553043,902487.436882141,902487.440951017,True,True,False,1.0078760096803308,False,0,0,True,True
visdial-turn1-piggyback-e2e-ttft-v1,visdial_v1.0_val,visdial:174525,visdial:174525,06862e22-23fe-4422-a1ea-bf170580f53a,1,ImageOnly-Repack Prefix45,prefix45,f50d6ad5-5a82-468a-a687-51a64a88d1bc,True,True,1,0,0,penultimate_cls_to_patch_attention_same_vision_forward,0.0071680000983178616,0.07795100100338459,0.010684016160666943,0.06726698484271765,0.6499961018562317,100.41142744012177,30.395304318517447,130.80673175863922,435.04908692557365,435.04908692557365,0.3063940675929189,262.1659559663385,0.08432101458311081,6.34753005579114,894.8086349992082,65.98527624737471,901.16684907116,1226833920,18874368,0,2622802,30744,42485,1248404319,a7812c9823a9612b7cd57e0c70f664d9f9439c1af5106f70fddb3a336e96c368,f0ce9dc40981a2dda8b3d344b9fda6999762f1fc52a2a6c0d8561b429219cd65,64fae5ba35b8e26f780bc3ba647c87beb0f5285ab6bd8e82e42043dd27927e12,91fe4b3a1e8bc804e36067072e50b390c7821176d72d40c2da2d5d1cb128761c,902509.665429063,902509.665439747,902510.2320128288,902510.560248382,902510.5665959121,902510.570743046,True,True,False,0.9926760103553534,False,0,0,True,True
visdial-turn1-piggyback-e2e-ttft-v1,visdial_v1.0_val,visdial:174686,visdial:174686,1b6de6d9-acc6-44d9-ad73-e75fdacce23e,1,ImageOnly-Repack Prefix45,prefix45,21c8121d-de27-43c6-82e3-4927eb98f5c9,True,True,1,0,0,penultimate_cls_to_patch_attention_same_vision_forward,0.007391999941319227,0.07755891419947147,0.010740943253040314,0.06681797094643116,0.5895569920539856,89.7125971969217,38.287950097583234,128.00054729450494,397.51628309022635,397.51628309022635,0.30716799665242434,243.60846495255828,0.08067605085670948,5.755629972554743,838.3018909953535,68.43954464420676,844.0682619111612,1132462080,25165824,0,2622802,28696,39609,1160319011,224a18dbd034f1e961a1b30cb8efa425e70ce22690bb5663131dc82aab095435,ecbbd3fbbfc500f0a9ebcce14ee9a428f9094be06b6fa5d56126f73d14b4f0f1,f76d77df8703dceace9366f8f2fa73f1b0add5c93b767cb179384c3b9f711478,c8f5fcae22723482fbd7a9aaa3a748b08c49ee3894b8a0f6430dd48e02b1585d,902532.5945966991,902532.59460744,902533.1207806454,902533.432909331,902533.438664961,902533.442819265,True,True,False,0.9789409814402461,False,0,0,True,True
visdial-turn1-piggyback-e2e-ttft-v1,visdial_v1.0_val,visdial:263372,visdial:263372,416aabd3-4c0b-4443-aa1a-e7269e75117d,1,ImageOnly-Repack Prefix25,prefix25,f655e54a-5731-4b0c-bf33-67312fbb05a6,True,True,1,0,0,penultimate_cls_to_patch_attention_same_vision_forward,0.0071680000983178616,0.07906893733888865,0.010901014320552349,0.0681679230183363,0.5868179723620415,96.81088023353368,36.061401944607496,132.87228217814118,380.88222593069077,380.88222593069077,0.31382101587951183,249.18678693939,0.0796410022303462,5.443861009553075,817.5070480210707,53.83112607523799,822.9618100449443,1072693248,15728640,0,2622802,27288,37391,1091109369,3f99b78a5fa8fa4f4dc043b5441badf63cc70938e15b5fbfa018dd43a33ede7d,c6b80aaa6ee937f7dac4be9af507155c8aedfffaf9039a6fe57f979a6ac5eae6,521dc77d70739d51579066cc1c1847c0e7af7241fcd8023e14b20045a2d52cd6,64d4cf9021e16f9a432540d060046919fda4d43359f60b430f25d39cbcf682e7,902554.543035017,902554.543045918,902555.057455412,902555.360552966,902555.365996827,902555.371704239,True,True,False,2.634792006574571,False,0,0,True,True
visdial-turn1-piggyback-e2e-ttft-v1,visdial_v1.0_val,visdial:133780,visdial:133780,2e33b0f0-442c-4d6e-bc09-cce266ccda25,1,ImageOnly-Repack Prefix45,prefix45,f6fdd418-5a43-458e-a454-9f54db2f75e6,True,True,1,0,0,penultimate_cls_to_patch_attention_same_vision_forward,0.007424000184983015,0.07837102748453617,0.010450021363794804,0.06792100612074137,0.7913290755823255,164.21031358186156,57.80359171330929,222.01390529517084,562.2459086589515,562.2459086589515,0.3262939862906933,296.7165040317923,0.08312507998198271,7.612590910866857,1251.585197984241,169.66650483664125,1259.2082389164716,1484783616,25165824,0,2622802,36760,51037,1512660039,0d72e0be9798ea20b4c7eb0d17bf1c2d6e6828301d75605a06b0523aa45e7f13,3d87a528034f6fa41beea0bd341f840389bea0aee4ee5a6e3eb759f3b975290f,f4a5a5870442659c4379221cfdbd0736803799787e1c7981597dffd2d7bdf56c,2a3f2cd17904300ae77c9c3f678492c81cfd9bef1b028436a362d216574df77e,902576.153503384,902576.153513834,902576.938632898,902577.405099032,902577.4127116229,902577.416832551,True,True,False,1.0065839160233736,False,0,0,True,True
visdial-turn1-piggyback-e2e-ttft-v1,visdial_v1.0_val,visdial:223323,visdial:223323,d5f1ad75-d88a-4f8a-8d7e-c7ee67e4f2a2,1,ImageOnly-Repack Prefix45,prefix45,211de50e-9f15-4d51-8d22-0ab8a0d7857f,True,True,1,0,0,penultimate_cls_to_patch_attention_same_vision_forward,0.0071680000983178616,0.07952807936817408,0.01026596873998642,0.06926211062818766,0.6481150630861521,152.96094946097583,48.63101616501808,201.5919656259939,531.1646822374314,531.1646822374314,0.47029100824147463,258.7087689898908,0.08343893568962812,6.292317993938923,1100.7496749516577,108.48344198893756,1107.0522589143366,1226833920,18874368,0,2622802,30744,42482,1248404316,ddfdd3e432ca5e005daa31507c308df91b1d95393cf0de1db346a5ab1d4989e1,8cc16b0ff718d96a529f22787b8026ed7ff88a438b4ad6ed0859e254b7fdcb62,611edf00523c5b53ebe0c4569cd9ca3015783f5b87383576ab9236ec84694b1e,354890e33375abcacdf137cfed2467a5a0d0889a33adab26f4b27595b65ee028,902606.254689298,902606.254699564,902606.988173589,902607.3554492389,902607.3617415569,902607.368672607,True,True,False,3.6476280074566603,False,0,0,True,True
visdial-turn1-piggyback-e2e-ttft-v1,visdial_v1.0_val,visdial:311202,visdial:311202,4f7aacf1-dd6f-409a-8497-e25d14d071c7,1,ImageOnly-Repack Prefix45,prefix45,9513e28d-b0ac-4260-b2e0-04a75e6f4906,True,True,1,0,0,penultimate_cls_to_patch_attention_same_vision_forward,0.006976000033318996,0.07725204341113567,0.01057703047990799,0.06667501293122768,0.5949089536443353,116.05829559266567,40.307266637682915,156.3655622303486,395.07741772104055,395.07741772104055,0.3022190649062395,242.17559187673032,0.07696694228798151,7.998222950845957,913.1538190413266,118.79669630434364,921.1626190226525,1124073472,16777216,0,2622802,28440,39083,1143541013,700cf7bac59b25b9b7bdc4e3556160b3e94a7418dabefb9953031e586e36be22,989a2f1620db1733cac84d191b769bf1e875ce7adf48255aa84b4bbbd30dea37,78bbdcb18ae5874c11589bf45856e1c6847856749fc27beba6c4cfbef47dc388,7aa29cf2a5e48209d9f75d57a69fb7172bfe62852bc428f82207a15d851e975b,902629.28245568,902629.282466257,902629.8345708209,902630.195620076,902630.203618299,902630.207696273,True,True,False,0.9910129010677338,False,0,0,True,True
