turn_id,method,budget,n_dialogs,quality_mean,history_tokens_mean,ssd_read_bytes_mean,ssd_read_bytes_total,ssd_preads_mean,end_to_end_ttft_ms_mean,end_to_end_ttft_ms_p50,end_to_end_ttft_ms_p95,core_ttft_ms_mean,core_ttft_ms_p50,core_ttft_ms_p95,pre_core_ms_mean,pre_core_ms_p50,pre_core_ms_p95,vision_ms_mean,vision_ms_p50,vision_ms_p95,ssd_read_ms_mean,ssd_read_ms_p50,ssd_read_ms_p95,scatter_ms_mean,scatter_ms_p50,scatter_ms_p95,prefill_ms_mean,prefill_ms_p50,prefill_ms_p95,decode_ms_mean,decode_ms_p50,decode_ms_p95,request_e2e_ms_mean,request_e2e_ms_p50,request_e2e_ms_p95,end_to_end_ttft_delta_vs_recomp_ms,end_to_end_ttft_reduction_vs_recomp_pct
1,ReComp,,100,0.57,18.33,0.0,0,0.0,519.418718641391,525.395508040674,567.8679097385611,504.3081097351387,510.20366098964587,549.0799951250665,15.11060890625231,14.955900493077934,18.394419946707785,38.193628330230716,39.01337432861328,39.14235725402832,0.0,0.0,0.0,0.0,0.0,0.0,504.30803723749705,510.2035975432955,549.0799275808968,29.532409134553745,19.19876749161631,55.98320796270855,549.0454097744077,546.9173025339842,620.4589580593163,0.0,0.0
1,FullLoad,,100,0.57,18.33,0.0,0,0.0,519.5594657992478,527.0253280177712,563.7941089575179,503.97725440212525,510.36435598507524,546.2888556707185,15.582211397122592,15.374970040284097,18.75946272048168,38.208865547180174,38.99843215942383,39.239056777954104,0.0,0.0,0.0,0.0,0.0,0.0,503.977181520313,510.36429294617847,546.2887929752469,29.498444952769205,19.159715506248176,55.41091049090028,549.1536478383932,547.2250045277178,619.3834052945019,0.140747157856822,-0.027097051531943528
1,Prefix25,0.25,100,0.57,18.33,0.0,0,0.0,519.5386953442357,527.148503519129,565.7205092953518,504.3634673964698,510.7480445294641,548.0284100049175,15.175227947765961,15.080162032973021,18.449349503498524,38.1816788482666,39.02976036071777,39.09292640686035,0.0,0.0,0.0,0.0,0.0,0.0,504.36339461710304,510.74796402826905,548.0283286771737,29.47858070838265,19.217088527511805,56.42670029774308,549.1092623875011,547.5204139947891,618.1079989357384,0.11997670284472406,-0.023098263219800685
1,Prefix45,0.45,100,0.57,18.33,0.0,0,0.0,520.153393347282,527.6246374705806,563.496711285552,504.8800123948604,511.30096206907183,547.9637007287238,15.273380952421576,14.987660048063844,18.898401089245453,38.367175846099855,39.116159439086914,39.436363220214844,0.0,0.0,0.0,0.0,0.0,0.0,504.8799379833508,511.30088954232633,547.9636182601098,29.552475315285847,19.109363958705217,55.88502112077549,549.7933848015964,547.7405624696985,619.4137005426453,0.7346747058909386,-0.14144170772523168
2,ReComp,,100,0.41,34.62,0.0,0,0.0,525.2262303140014,531.8825025460683,570.3182321682107,510.0215930317063,516.8158389860764,553.3360394940246,15.204637282295153,15.112464490812272,17.152652819640934,38.62660919189453,39.03483200073242,40.550491905212404,0.0,0.0,0.0,0.0,0.0,0.0,510.02151256543584,516.8157464941032,553.3359644177835,33.15645291702822,19.274059974122792,125.48987462068908,558.4785395755898,565.1072809705511,637.1493518876376,0.0,0.0
2,FullLoad,,100,0.41,34.62,1169434869.76,116943486976,64.0,672.6164964563213,671.1040969821624,795.2557843178511,672.1791759401094,670.7380695152096,794.9449874926358,0.43732051621191204,0.3988585085608065,0.5557105003390461,0.0,0.0,0.0,405.3487756487448,408.8142795371823,486.9387190963607,0.0,0.0,0.0,667.1713394939434,665.3521964908578,789.7434027865529,37.04279314377345,20.372096449136734,142.09671456483193,709.8024575563613,699.946032545995,836.9585075939536,147.3902661423199,-28.06224396946131
2,Prefix25,0.25,100,0.4,34.62,306834309.12,30683430912,65.0,264.54222455853596,263.4887084714137,319.3681607139297,264.134591416223,263.10944149736315,318.8569562335033,0.40763314231298864,0.40080450708046556,0.5303619022015482,0.0,0.0,0.0,129.22463649185374,125.73779019294307,163.42163856606928,51.21278414968401,52.66223050421104,58.711365261115134,50.0756745133549,48.96165500395,61.95940062752925,37.723777937935665,19.455876434221864,153.123277996201,302.72560534765944,290.0864799739793,395.1641813619061,-260.6840057554655,49.63270886140207
2,Prefix45,0.45,100,0.44,34.62,554801561.6,55480156160,65.0,406.13686472177505,407.696005073376,471.8261213856749,405.7255489588715,407.08796703256667,471.44915421376936,0.4113157629035413,0.3799094702117145,0.5638900969643146,0.0,0.0,0.0,211.8116627749987,215.03250813111663,265.064518712461,82.48317145276815,83.04009446874261,92.01404310879298,50.82059357664548,49.32573850965127,62.40192287950776,34.2022316926159,19.414347014389932,130.30307281878777,440.7458571670577,438.928876479622,534.7709103953093,-119.08936559222639,22.673918155426087
3,ReComp,,100,0.4,52.1,0.0,0,0.0,524.7872784396168,532.1689409902319,573.6933186708484,509.6699971356429,517.2228000010364,555.759278149344,15.117281303973868,15.21815947489813,16.95912654395215,38.2077561378479,39.00484848022461,39.155831527709964,0.0,0.0,0.0,0.0,0.0,0.0,509.66992363799363,517.2227194998413,555.7592010416556,34.615117927314714,19.06272949418053,92.02457423089062,559.4948888325598,552.1997439791448,692.8517699881921,0.0,0.0
3,FullLoad,,100,0.39,52.1,1169434869.76,116943486976,64.0,675.3331637044903,668.6761064920574,846.221823414089,674.9323086056393,668.2769045000896,845.8128945785573,0.4008550988510251,0.393423018977046,0.4678372468333691,0.0,0.0,0.0,407.43891872814856,401.2956932419911,493.849072093144,0.0,0.0,0.0,670.0854510907084,663.5334914899431,840.2573439350816,40.24126132717356,20.294931484386325,98.91677407431406,715.716966871405,704.2838669731282,928.4579776227474,150.5458852648735,-28.68703024061503
